item,check,expected,observed,status,source
b,"replay saving Llama-3.1-8B/ARC/Text, all requests (ms, 1 dp)",418.9,418.9,PASS,$DATA_DIR/P2_R7_E16_20260921T184114Z/replay_llama/records/e2e_requests.jsonl
b,"replay saving Llama-3.1-8B/ARC/Text, 95% paired bootstrap (1 dp)","[361.7, 473.7]","[361.7, 473.7]",PASS,$DATA_DIR/P2_R7_E16_20260921T184114Z/replay_llama/records/e2e_requests.jsonl
b,"replay saving large/OBQA/Text+fact, all requests (ms, 1 dp)",343.4,343.4,PASS,$DATA_DIR/P2_R2_E7_20260919T231531Z/e6replay/records_e6/e6_replay_requests.jsonl
b,"replay saving large/OBQA/Text+fact, 95% paired bootstrap (1 dp)","[297.7, 386.0]","[297.7, 386.0]",PASS,$DATA_DIR/P2_R2_E7_20260919T231531Z/e6replay/records_e6/e6_replay_requests.jsonl
b-extra,"full MMLU-Pro C2C replay saving (all 2,641) vs results/e3_full_saving.csv (ms, 3 dp)","[23.346, 14.541, 32.163]","[23.346, 14.541, 32.163]",PASS,$DATA_DIR/P2_R1_E3POL_MMLU_C2C_FULL_20260919T075315Z/records/four_arm_requests.jsonl
c,dev u=0 n0/n large/OBQA/Text,"[354, 572]","[354, 572]",PASS,$DATA_DIR/P2_R6_E14_20260921T052241Z/results/E14_2_zero_u.csv
c,dev u=0 n0/n large/OBQA/C2C,"[354, 572]","[354, 572]",PASS,$DATA_DIR/P2_R6_E14_20260921T052241Z/results/E14_2_zero_u.csv
c,dev u=0 n0/n large/ARC/Text,"[217, 284]","[217, 284]",PASS,$DATA_DIR/P2_R6_E14_20260921T052241Z/results/E14_2_zero_u.csv
c,dev u=0 n0/n large/ARC/C2C,"[217, 270]","[217, 270]",PASS,$DATA_DIR/P2_R6_E14_20260921T052241Z/results/E14_2_zero_u.csv
c,dev u=0 n0/n large/MMLU-Pro/Text,"[645, 1069]","[645, 1069]",PASS,$DATA_DIR/P2_R6_E14_20260921T052241Z/results/E14_2_zero_u.csv
c,dev u=0 n0/n large/MMLU-Pro/C2C,"[645, 1069]","[645, 1069]",PASS,$DATA_DIR/P2_R6_E14_20260921T052241Z/results/E14_2_zero_u.csv
c,dev u=0 n0/n medium/OBQA/C2C q=.55,"[321, 390]","[321, 390]",PASS,$DATA_DIR/P2_R6_E14_20260921T052241Z/results/E14_2_zero_u.csv
c,dev u=0 n0/n medium/OBQA/C2C q=.50,"[321, 355]","[321, 355]",PASS,$DATA_DIR/P2_R6_E14_20260921T052241Z/results/E14_2_zero_u.csv
c,dev u=0 n0/n medium/ARC/C2C,"[174, 189]","[174, 189]",PASS,$DATA_DIR/P2_R6_E14_20260921T052241Z/results/E14_2_zero_u.csv
c,dev u=0 n0/n large/OBQA/Text+fact,"[354, 536]","[354, 536]",PASS,$DATA_DIR/P2_R6_E14_20260921T052241Z/results/E14_2_zero_u.csv
