setting,output,transition,output_pattern,official_branch,count,V2_to_official,example_1,example_2,math_substrings,label
medium/OBQA/Text,R,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,13,INVALID->A x12 INVALID->B x1,The correct answer is A/B/C/D,The correct answer is A/B/C/D,/,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,R,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,2,A->INVALID x2,A. non-alive things,A. distance between cities,-,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,reference,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,1,INVALID->A x1,The correct answer is A/D,,/,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,R,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,50,INVALID->A x50,The correct answer is A/B/C/D.,The correct answer is A/B/C/D.,/,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,reference,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,2,B->INVALID x1 D->INVALID x1,D. trait inheritance in offspring,B. They create new substances.,tan,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,reference,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,1,INVALID->A x1,The correct answer is A/B/C/D.,,/,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,reference,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,51,INVALID->A x50 INVALID->B x1,The correct answer is A/B/C/D.,The correct answer is A/B/C/D.,/,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,R,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,50,INVALID->A x50,The correct answer is A/B/C/D.,The correct answer is A/B/C/D.,/,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/C2C,R,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,61,INVALID->A x61,The correct answer is A/B/C/D.,The correct answer is A/B/C/D.,/,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/C2C,reference,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,2,D->INVALID x2,D. disguise itself as just some junk on the bottom of the tank,D. Non-Contact Force,tan,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,reference,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,78,INVALID->A x78,The correct answer is A/B/C/D.,The correct answer is A/B/C/D.,/,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,R,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,61,INVALID->A x61,The correct answer is A/B/C/D.,The correct answer is A/B/C/D.,/,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
