policy,id,side,raw_output,V2_label,official_label,options,check_i_leading_single_letter,letter_i,check_ii_text_is_option,option_text_of_letter,check_iii_no_second_letter_pattern,second_patterns,check_v_V2_equals_letter,iv_official_returned,iv_official_branch,iv_math_substrings,iv_answer_words,official_matches_stated_option_better,all_i_ii_iii_v,label
large/ARC/C2C,MEAP_2005_5_12,C2C,A. Plant each field at one-year intervals.,A,INVALID,"{""A"": ""Plant each field at one-year intervals."", ""B"": ""Plant the grasses as close together as possible."", ""C"": ""Plant all the fields at the same time, but with different types of grasses."", ""D"": ""Plant warm-season grasses and cool-season grasses in each field at the same time.""}",True,A,True,Plant each field at one-year intervals.,True,,True,INVALID,blocked_by_math_substring,-,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,MCAS_2000_4_30,C2C,D. AM/FM radio,D,INVALID,"{""A"": ""pencil"", ""B"": ""computer"", ""C"": ""telephone"", ""D"": ""AM/FM radio""}",True,D,True,AM/FM radio,True,,True,INVALID,blocked_by_math_substring,/,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,Mercury_178255,C2C,B. Neutralize the acid before pouring it down a sink.,B,INVALID,"{""A"": ""Pour the acid into a trash can."", ""B"": ""Neutralize the acid before pouring it down a sink."", ""C"": ""Return the acid to the teacher's stock bottle."", ""D"": ""Allow the water to evaporate from the acid solution.""}",True,B,True,Neutralize the acid before pouring it down a sink.,True,,True,INVALID,blocked_by_math_substring,sin,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,NCEOGA_2013_8_26,C2C,D. because pollutants are filtered by rock and soil deep within Earth,D,INVALID,"{""A"": ""because it forms where fresh and salt water meet"", ""B"": ""because it receives water directly from precipitation"", ""C"": ""because it rises to the surface near the ocean"", ""D"": ""because pollutants are filtered by rock and soil deep within Earth""}",True,D,True,because pollutants are filtered by rock and soil deep within Earth,True,,True,INVALID,blocked_by_math_substring,tan,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,Mercury_SC_400052,C2C,B. tube-like body,B,INVALID,"{""A"": ""moist skin"", ""B"": ""tube-like body"", ""C"": ""skin that breathes"", ""D"": ""very small mouth""}",True,B,True,tube-like body,True,,True,INVALID,blocked_by_math_substring,-,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,Mercury_406800,C2C,B. the same traits as the single parent,B,INVALID,"{""A"": ""different from the traits of the single parent"", ""B"": ""the same traits as the single parent"", ""C"": ""different from the traits of two parents"", ""D"": ""similar traits as two parents""}",True,B,True,the same traits as the single parent,True,,True,INVALID,blocked_by_math_substring,sin,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,Mercury_SC_400401,C2C,"B. deep, bowl-shaped lake",B,INVALID,"{""A"": ""large, arid desert"", ""B"": ""deep, bowl-shaped lake"", ""C"": ""long crack in the ground"", ""D"": ""volcanic mountain range""}",True,B,True,"deep, bowl-shaped lake",True,,True,INVALID,blocked_by_math_substring,-,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,MDSA_2007_8_24,C2C,C. The number of atoms in the water remains constant.,C,INVALID,"{""A"": ""The temperature of the water remains constant."", ""B"": ""The pressure acting on the water remains constant."", ""C"": ""The number of atoms in the water remains constant."", ""D"": ""The distance between water molecules remains constant.""}",True,C,True,The number of atoms in the water remains constant.,True,,True,INVALID,blocked_by_math_substring,tan,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,VASoL_2009_3_12,C2C,D. stand between a light and the wall,D,INVALID,"{""A"": ""hold a lamp near the floor"", ""B"": ""turn off the lights in the room"", ""C"": ""sit close to the wall near a window"", ""D"": ""stand between a light and the wall""}",True,D,True,stand between a light and the wall,True,,True,INVALID,blocked_by_math_substring,tan,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,Mercury_7201968,C2C,A. artificial substances that mimic human peptides,A,INVALID,"{""A"": ""artificial substances that mimic human peptides"", ""B"": ""antibiotics that can be absorbed through the skin"", ""C"": ""bacteria that attack antibiotic-resistant organisms"", ""D"": ""antibiotics that adapt in response to bacterial immunity""}",True,A,True,artificial substances that mimic human peptides,True,,True,INVALID,blocked_by_math_substring,tan,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,Mercury_176855,C2C,B. glucose,B,INVALID,"{""A"": ""amino acid"", ""B"": ""glucose"", ""C"": ""glycerol"", ""D"": ""carbon dioxide""}",True,B,True,glucose,True,,True,INVALID,blocked_by_math_substring,cos,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,NYSEDREGENTS_2013_4_21,C2C,D. seed -> young plant -> adult plant,D,INVALID,"{""A"": ""young plant -> seed -> adult plant"", ""B"": ""seed -> adult plant -> young plant"", ""C"": ""adult plant -> young plant -> seed"", ""D"": ""seed -> young plant -> adult plant""}",True,D,True,seed -> young plant -> adult plant,True,,True,INVALID,blocked_by_math_substring,-,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,AKDE&ED_2008_8_36,C2C,A. chemical -> mechanical -> heat,A,INVALID,"{""A"": ""chemical -> mechanical -> heat"", ""B"": ""mechanical -> heat -> chemical"", ""C"": ""heat -> mechanical -> chemical"", ""D"": ""mechanical -> nuclear -> heat""}",True,A,True,chemical -> mechanical -> heat,True,,True,INVALID,blocked_by_math_substring,-,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,Mercury_7131530,C2C,B. a chemical change because a new substance was formed,B,INVALID,"{""A"": ""a physical change because the iron reacted with the sulfur"", ""B"": ""a chemical change because a new substance was formed"", ""C"": ""a physical change because a compound was formed"", ""D"": ""a chemical change because a magnet had to be used""}",True,B,True,a chemical change because a new substance was formed,True,,True,INVALID,blocked_by_math_substring,tan,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,MDSA_2013_8_23,C2C,D. The substances chemically reacted and produced a gas.,D,INVALID,"{""A"": ""The substances became cooler and expanded."", ""B"": ""The substances physically changed the plastic."", ""C"": ""The substances became warm and stretched the bag."", ""D"": ""The substances chemically reacted and produced a gas.""}",True,D,True,The substances chemically reacted and produced a gas.,True,,True,INVALID,blocked_by_math_substring,tan,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,Mercury_415084,C2C,C. 80 m/h,C,INVALID,"{""A"": ""0.75 m/h"", ""B"": ""20 m/s"", ""C"": ""80 m/h"", ""D"": ""1,200 m/h""}",True,C,True,80 m/h,True,,True,INVALID,blocked_by_math_substring,/,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,Mercury_415082,C2C,A. 5 m/s,A,INVALID,"{""A"": ""5 m/s"", ""B"": ""50 m/s"", ""C"": ""100 m/s"", ""D"": ""300 m/s""}",True,A,True,5 m/s,True,,True,INVALID,blocked_by_math_substring,/,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,Mercury_7027248,C2C,B. genetic modification,B,INVALID,"{""A"": ""space flight"", ""B"": ""genetic modification"", ""C"": ""alternative energy"", ""D"": ""hurricane forecasting""}",True,B,True,genetic modification,True,,True,INVALID,blocked_by_math_substring,mod,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,MDSA_2011_5_23,C2C,D. a model of a stream flowing down a hillside,D,INVALID,"{""A"": ""a diagram of a river food web"", ""B"": ""a graph of the amount of rainfall on a lake"", ""C"": ""a picture of fog covering a mountain valley"", ""D"": ""a model of a stream flowing down a hillside""}",True,D,True,a model of a stream flowing down a hillside,True,,True,INVALID,blocked_by_math_substring,mod,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,Mercury_7230073,C2C,B. suntan lotion,B,INVALID,"{""A"": ""disinfectant"", ""B"": ""suntan lotion"", ""C"": ""safety goggles"", ""D"": ""ear protectors""}",True,B,True,suntan lotion,True,,True,INVALID,blocked_by_math_substring,tan,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,MCAS_2002_8_17,C2C,D. They cannot be divided into smaller substances.,D,INVALID,"{""A"": ""They break down when reacting with acids."", ""B"": ""They can be altered with an electric current."", ""C"": ""They are always metals."", ""D"": ""They cannot be divided into smaller substances.""}",True,D,True,They cannot be divided into smaller substances.,True,,True,INVALID,blocked_by_math_substring,tan,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,Mercury_192220,C2C,D. glucose,D,INVALID,"{""A"": ""oxygen"", ""B"": ""carbon dioxide"", ""C"": ""iron sulfide"", ""D"": ""glucose""}",True,D,True,glucose,True,,True,INVALID,blocked_by_math_substring,cos,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,Mercury_407019,C2C,D. distance between the Sun and the nearest star,D,INVALID,"{""A"": ""distance between Earth and the Sun"", ""B"": ""time of rotation of the nearest galaxy"", ""C"": ""time in orbit of a satellite around Earth"", ""D"": ""distance between the Sun and the nearest star""}",True,D,True,distance between the Sun and the nearest star,True,,True,INVALID,blocked_by_math_substring,tan,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,NYSEDREGENTS_2015_4_25,C2C,C. seed -> young plant -> mature plant,C,INVALID,"{""A"": ""young plant -> seed -> mature plant"", ""B"": ""seed -> mature plant -> young plant"", ""C"": ""seed -> young plant -> mature plant"", ""D"": ""mature plant -> young plant -> seed""}",True,C,True,seed -> young plant -> mature plant,True,,True,INVALID,blocked_by_math_substring,-,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,Mercury_409317,C2C,B. 34.98 km/sec,B,INVALID,"{""A"": ""0.7 km/sec"", ""B"": ""34.98 km/sec"", ""C"": ""35.02 km/sec"", ""D"": ""1750 km/sec""}",True,B,True,34.98 km/sec,True,,True,INVALID,blocked_by_math_substring,/,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,Mercury_7221078,C2C,C. by decreasing the birds' overall health,C,INVALID,"{""A"": ""by mutating the birds' genetic traits"", ""B"": ""by altering the birds' social behaviors"", ""C"": ""by decreasing the birds' overall health"", ""D"": ""by increasing the birds' available energy""}",True,C,True,by decreasing the birds' overall health,True,,True,INVALID,blocked_by_math_substring,sin,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,Mercury_7211033,C2C,B. glucose,B,INVALID,"{""A"": ""carbon dioxide"", ""B"": ""glucose"", ""C"": ""water"", ""D"": ""sunlight""}",True,B,True,glucose,True,,True,INVALID,blocked_by_math_substring,cos,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,Mercury_402563,C2C,B. +1,B,INVALID,"{""A"": ""-1"", ""B"": ""+1"", ""C"": ""-2"", ""D"": ""+2""}",True,B,True,+1,True,,True,INVALID,blocked_by_math_substring,+,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,Mercury_SC_LBS10337,C2C,A. Earth constantly takes in more heat from the Sun.,A,INVALID,"{""A"": ""Earth constantly takes in more heat from the Sun."", ""B"": ""Earth has forests that provide heat through photosynthesis."", ""C"": ""Earth has oceans that store heat."", ""D"": ""Earth absorbs extra heat from molten lava.""}",True,A,True,Earth constantly takes in more heat from the Sun.,True,,True,INVALID,blocked_by_math_substring,tan,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,Mercury_401523,C2C,A. The distance is extremely large.,A,INVALID,"{""A"": ""The distance is extremely large."", ""B"": ""The distance is a rough estimate."", ""C"": ""Only light can travel between stars."", ""D"": ""Light signals were timed reflecting from the star.""}",True,A,True,The distance is extremely large.,True,,True,INVALID,blocked_by_math_substring,tan,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,Mercury_183890,C2C,D. cold-blooded,D,INVALID,"{""A"": ""four-chambered heart"", ""B"": ""herbivore"", ""C"": ""nurse young"", ""D"": ""cold-blooded""}",True,D,True,cold-blooded,True,,True,INVALID,blocked_by_math_substring,-,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,TIMSS_1995_8_L6,C2C,"D. Unlike snakes, birds are warm-blooded; they must eat food to maintain a constant temperature.",D,INVALID,"{""A"": ""Both animals are cold-blooded, but without feathers to keep warm, snakes get too cold to move."", ""B"": ""Unlike birds, snakes are warm-blooded; they must hibernate during cold weather."", ""C"": ""Unlike snakes, birds are cold-blooded; they are less affected by the cold than snakes."", ""D"": ""Unlike snakes, birds are warm-blooded; they must eat food to maintain a constant temperature.""}",True,D,True,"Unlike snakes, birds are warm-blooded; they must eat food to maintain a constant temperature.",True,,True,INVALID,blocked_by_math_substring,-;tan,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,Mercury_7154315,C2C,A. using compost as a fertilizer for lawns and gardens,A,INVALID,"{""A"": ""using compost as a fertilizer for lawns and gardens"", ""B"": ""using water from washing machines to water lawns"", ""C"": ""using cars that are designed to use petroleum products"", ""D"": ""using more plastic bottles and disposing them in landfills""}",True,A,True,using compost as a fertilizer for lawns and gardens,True,,True,INVALID,blocked_by_math_substring,sin,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,MCAS_2003_8_7,C2C,A. advertising,A,INVALID,"{""A"": ""advertising"", ""B"": ""shipping"", ""C"": ""storage"", ""D"": ""quality control""}",True,A,True,advertising,True,,True,INVALID,blocked_by_math_substring,sin,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
