population,pair,dataset,split,n,action,old_valid,old_invalid,old_correct,old_accuracy,old_exclusive_correct,old_gain_over_R,old_harm_vs_R,D1_valid,D1_invalid,D1_correct,D1_accuracy,D1_exclusive_correct,D1_gain_over_R,D1_harm_vs_R,V2_valid,V2_invalid,V2_correct,V2_accuracy,V2_exclusive_correct,V2_gain_over_R,V2_harm_vs_R,old_to_V2_answer_changed,old_to_V2_correct_improved,old_to_V2_correct_harmed,old_to_V2_accuracy_delta_pp,D1_to_V2_answer_changed,D1_to_V2_correct_improved,D1_to_V2_correct_harmed,D1_to_V2_accuracy_delta_pp
full,large,arc,validation,299,text,299,0,274,0.9163879598662207,8,10,4,299,0,274,0.9163879598662207,8,10,4,299,0,274,0.9163879598662207,8,10,4,0,0,0,0.0,0,0,0,0.0
full,large,arc,validation,299,c2c,287,12,255,0.8528428093645485,2,4,17,299,0,266,0.8896321070234113,2,4,6,299,0,266,0.8896321070234113,2,4,6,12,11,0,3.678929765886288,0,0,0,0.0
full,large,arc,validation,299,acw,299,0,269,0.8996655518394648,1,1,0,299,0,269,0.8996655518394648,1,1,0,299,0,269,0.8996655518394648,1,1,0,0,0,0,0.0,0,0,0,0.0
panel,large,arc,validation,128,receiver_only,128,0,115,0.8984375,0,0,0,128,0,115,0.8984375,0,0,0,128,0,115,0.8984375,0,0,0,0,0,0,0.0,0,0,0,0.0
panel,large,arc,validation,128,text,128,0,117,0.9140625,2,4,2,128,0,117,0.9140625,2,4,2,128,0,117,0.9140625,2,4,2,0,0,0,0.0,0,0,0,0.0
panel,large,arc,validation,128,c2c,122,6,109,0.8515625,1,3,9,128,0,114,0.890625,1,3,4,128,0,114,0.890625,1,3,4,6,5,0,3.90625,0,0,0,0.0
panel,large,arc,validation,128,acw,128,0,115,0.8984375,0,0,0,128,0,115,0.8984375,0,0,0,128,0,115,0.8984375,0,0,0,0,0,0,0.0,0,0,0,0.0
full,small,obqa,train,3466,receiver_only,3307,159,1365,0.3938257357184074,20,0,0,3307,159,1365,0.3938257357184074,20,0,0,3307,159,1365,0.3938257357184074,20,0,0,0,0,0,0.0,0,0,0,0.0
full,small,obqa,train,3466,text,3257,209,1612,0.46508944027697635,266,632,385,3257,209,1612,0.46508944027697635,267,632,385,3257,209,1612,0.46508944027697635,266,632,385,0,0,0,0.0,0,0,0,0.0
full,small,obqa,train,3466,c2c,3461,5,1802,0.5199076745527986,391,762,325,3463,3,1803,0.520196191575303,391,761,323,3465,1,1804,0.5204847085978073,391,762,323,4,2,0,0.05770340450086555,2,1,0,0.028851702250432775
full,small,obqa,train,3466,acw,3131,335,1345,0.38805539526832084,3,33,53,3131,335,1345,0.38805539526832084,3,33,53,3131,335,1345,0.38805539526832084,3,33,53,0,0,0,0.0,0,0,0,0.0
panel,small,obqa,train,256,receiver_only,248,8,102,0.3984375,1,0,0,248,8,102,0.3984375,1,0,0,248,8,102,0.3984375,1,0,0,0,0,0,0.0,0,0,0,0.0
panel,small,obqa,train,256,text,248,8,133,0.51953125,24,53,22,248,8,133,0.51953125,24,53,22,248,8,133,0.51953125,24,53,22,0,0,0,0.0,0,0,0,0.0
panel,small,obqa,train,256,c2c,256,0,131,0.51171875,28,58,29,256,0,131,0.51171875,28,58,29,256,0,131,0.51171875,28,58,29,0,0,0,0.0,0,0,0,0.0
panel,small,obqa,train,256,acw,240,16,102,0.3984375,0,3,3,240,16,102,0.3984375,0,3,3,240,16,102,0.3984375,0,3,3,0,0,0,0.0,0,0,0,0.0
full,small,obqa,dev,742,receiver_only,717,25,285,0.38409703504043125,5,0,0,717,25,285,0.38409703504043125,5,0,0,717,25,285,0.38409703504043125,5,0,0,0,0,0,0.0,0,0,0,0.0
full,small,obqa,dev,742,text,704,38,346,0.46630727762803237,66,136,75,704,38,346,0.46630727762803237,66,136,75,704,38,346,0.46630727762803237,66,136,75,0,0,0,0.0,0,0,0,0.0
full,small,obqa,dev,742,c2c,741,1,365,0.4919137466307278,73,147,67,742,0,366,0.49326145552560646,73,147,66,742,0,366,0.49326145552560646,73,147,66,1,1,0,0.1347708894878706,0,0,0,0.0
full,small,obqa,dev,742,acw,679,63,284,0.38274932614555257,3,16,17,679,63,284,0.38274932614555257,3,16,17,679,63,284,0.38274932614555257,3,16,17,0,0,0,0.0,0,0,0,0.0
panel,small,obqa,dev,128,receiver_only,124,4,56,0.4375,1,0,0,124,4,56,0.4375,1,0,0,124,4,56,0.4375,1,0,0,0,0,0,0.0,0,0,0,0.0
panel,small,obqa,dev,128,text,124,4,66,0.515625,12,21,11,124,4,66,0.515625,12,21,11,124,4,66,0.515625,12,21,11,0,0,0,0.0,0,0,0,0.0
panel,small,obqa,dev,128,c2c,128,0,66,0.515625,13,22,12,128,0,66,0.515625,13,22,12,128,0,66,0.515625,13,22,12,0,0,0,0.0,0,0,0,0.0
panel,small,obqa,dev,128,acw,118,10,54,0.421875,0,1,3,118,10,54,0.421875,0,1,3,118,10,54,0.421875,0,1,3,0,0,0,0.0,0,0,0,0.0
full,small,arc,train,1119,receiver_only,1010,109,424,0.37890974084003576,7,0,0,1010,109,424,0.37890974084003576,8,0,0,1010,109,424,0.37890974084003576,7,0,0,0,0,0,0.0,0,0,0,0.0
full,small,arc,train,1119,text,992,127,530,0.4736371760500447,98,243,137,992,127,530,0.4736371760500447,96,243,137,992,127,530,0.4736371760500447,96,243,137,0,0,0,0.0,0,0,0,0.0
full,small,arc,train,1119,c2c,1106,13,667,0.5960679177837355,178,326,83,1111,8,669,0.5978552278820375,178,328,83,1113,6,671,0.5996425379803396,178,328,81,7,4,0,0.3574620196604111,2,2,0,0.17873100983020554
full,small,arc,train,1119,acw,913,206,412,0.3681858802502234,1,19,31,913,206,412,0.3681858802502234,1,19,31,913,206,412,0.3681858802502234,1,19,31,0,0,0,0.0,0,0,0,0.0
panel,small,arc,train,256,receiver_only,236,20,96,0.375,0,0,0,236,20,96,0.375,1,0,0,236,20,96,0.375,0,0,0,0,0,0,0.0,0,0,0,0.0
panel,small,arc,train,256,text,230,26,121,0.47265625,23,55,30,230,26,121,0.47265625,22,55,30,230,26,121,0.47265625,22,55,30,0,0,0,0.0,0,0,0,0.0
panel,small,arc,train,256,c2c,253,3,155,0.60546875,41,73,14,254,2,156,0.609375,41,74,14,255,1,157,0.61328125,41,74,13,2,2,0,0.78125,1,1,0,0.390625
panel,small,arc,train,256,acw,207,49,88,0.34375,0,2,10,207,49,88,0.34375,0,2,10,207,49,88,0.34375,0,2,10,0,0,0,0.0,0,0,0,0.0
full,small,arc,validation,299,receiver_only,267,32,110,0.36789297658862874,2,0,0,267,32,110,0.36789297658862874,2,0,0,267,32,110,0.36789297658862874,2,0,0,0,0,0,0.0,0,0,0,0.0
full,small,arc,validation,299,text,278,21,126,0.4214046822742475,23,55,39,278,21,126,0.4214046822742475,23,55,39,278,21,126,0.4214046822742475,23,55,39,0,0,0,0.0,0,0,0,0.0
full,small,arc,validation,299,c2c,293,6,155,0.5183946488294314,38,69,24,294,5,155,0.5183946488294314,38,69,24,294,5,155,0.5183946488294314,38,69,24,1,0,0,0.0,0,0,0,0.0
full,small,arc,validation,299,acw,241,58,110,0.36789297658862874,2,8,8,241,58,110,0.36789297658862874,2,8,8,241,58,110,0.36789297658862874,2,8,8,0,0,0,0.0,0,0,0,0.0
panel,small,arc,validation,128,receiver_only,111,17,48,0.375,1,0,0,111,17,48,0.375,1,0,0,111,17,48,0.375,1,0,0,0,0,0,0.0,0,0,0,0.0
panel,small,arc,validation,128,text,120,8,51,0.3984375,4,18,15,120,8,51,0.3984375,4,18,15,120,8,51,0.3984375,4,18,15,0,0,0,0.0,0,0,0,0.0
panel,small,arc,validation,128,c2c,123,5,62,0.484375,13,27,13,123,5,62,0.484375,13,27,13,123,5,62,0.484375,13,27,13,0,0,0,0.0,0,0,0,0.0
panel,small,arc,validation,128,acw,103,25,49,0.3828125,2,4,3,103,25,49,0.3828125,2,4,3,103,25,49,0.3828125,2,4,3,0,0,0,0.0,0,0,0,0.0
