benchmark,question_id,split,reviewed_pairs,reviewed_actions,n_review_records,diagnostic_reasons,selection_rule,source,label
ARC,MCAS_2003_5_21,calibration,small,text,1,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,MCAS_2003_8_8,calibration,small,acw;receiver_only;text,3,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,MCAS_2004_8_17,calibration,small,text,2,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,MCAS_2004_9_20-v1,calibration,large,c2c,1,explicit_single,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,MCAS_2006_8_34,calibration,small,receiver_only,1,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,MCAS_2006_9_13,calibration,small,acw;receiver_only;text,3,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,MCAS_2007_8_5169,calibration,small,acw;receiver_only,2,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,MCAS_2008_5_5625,calibration,small,acw,1,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,MCAS_2008_8_5711,calibration,large,c2c,1,explicit_single,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,MCAS_2008_8_5716,calibration,small,text,2,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,MCAS_2011_5_17664,calibration,small,text,2,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,MDSA_2007_4_35,calibration,small,acw,1,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,MDSA_2007_5_9,calibration,small,acw;receiver_only,2,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,MDSA_2008_5_18,calibration,small,acw;receiver_only,2,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,MDSA_2009_5_17,calibration,small,text,1,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,MDSA_2009_8_44,calibration,small,acw,1,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,MDSA_2011_8_25,calibration,large,c2c,2,explicit_single,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,MEAP_2005_8_8,calibration,small,acw;receiver_only,2,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,MEA_2014_5_6,calibration,small,acw,1,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,MSA_2012_5_24,calibration,small,acw;receiver_only,2,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,MSA_2015_8_31,calibration,large;small,acw;c2c;receiver_only;text,4,explicit_multiple_options;explicit_single,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,MSA_2015_8_37,calibration,small,text,1,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_182718,calibration,small,acw;receiver_only,2,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_400350,calibration,small,acw,1,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_401790,calibration,small,acw;receiver_only;text,3,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_404786,calibration,small,acw;receiver_only,2,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_404903,calibration,small,acw;receiver_only,2,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_406808,calibration,small,acw,1,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_406888,calibration,large,c2c,1,explicit_single,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_408090,calibration,small,text,1,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_415080,calibration,large,c2c,2,explicit_single,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_415092,calibration,large;small,acw;c2c;receiver_only,3,explicit_multiple_options;explicit_single,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_415261,calibration,small,text,1,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_416635,calibration,small,text,1,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_417136,calibration,small,acw;receiver_only,2,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_417154,calibration,small,acw,1,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_7009590,calibration,small,acw;text,2,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_7012670,calibration,small,acw;receiver_only;text,3,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_7017168,calibration,large,c2c,1,explicit_single,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_7024185,calibration,small,acw;receiver_only,2,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_7030083,calibration,small,acw;receiver_only,2,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_7038150,calibration,small,acw;receiver_only,3,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_7038570,calibration,small,acw;receiver_only;text,3,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_7056175,calibration,small,text,1,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_7064278,calibration,small,text,1,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_7084000,calibration,small,receiver_only,1,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_7084280,calibration,small,acw;receiver_only,3,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_7090825,calibration,small,text,2,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_7092260,calibration,small,acw;receiver_only,2,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_7093993,calibration,small,acw;receiver_only,2,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_7102340,calibration,small,acw;receiver_only,2,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_7132038,calibration,large,c2c,1,explicit_single,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_7133700,calibration,small,acw,1,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_7142853,calibration,small,acw,1,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_7154350,calibration,small,acw;receiver_only;text,3,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_7159670,calibration,small,acw,1,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_7163258,calibration,small,acw;text,2,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_7165060,calibration,small,acw;receiver_only;text,3,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_7166600,calibration,small,acw,1,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_7171920,calibration,small,text,1,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_7179778,calibration,small,acw;receiver_only,2,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_7185448,calibration,large;small,c2c,2,explicit_single,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_7188878,calibration,small,acw;receiver_only,2,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_7193113,calibration,small,acw;receiver_only;text,3,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_7199150,calibration,small,text,1,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_7202160,calibration,small,acw,1,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_7205818,calibration,small,text,1,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_7210263,calibration,large,c2c,2,explicit_single,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_7211873,calibration,large,c2c,2,explicit_single,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_7213290,calibration,small,receiver_only,1,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_7216125,calibration,small,receiver_only,1,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_7216843,calibration,large,c2c,1,explicit_single,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_7220273,calibration,large,c2c,2,explicit_single,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,Mercury_7221008,calibration,small,acw;receiver_only;text,3,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
