setting,benchmark,N_cal,raw_source,official_applicable,label,OFFICIAL_o_R_diff,OFFICIAL_o_ref_diff,OFFICIAL_d_diff_total,OFFICIAL_d_diff_in_X,OFFICIAL_d_diff_in_clean,OFFICIAL_n_at_orig_q,OFFICIAL_k_at_orig_q,OFFICIAL_p_at_orig_q,OFFICIAL_orig_q_accepted,OFFICIAL_largest_accepted_q,D1_o_R_diff,D1_o_ref_diff,D1_d_diff_total,D1_d_diff_in_X,D1_d_diff_in_clean,D1_n_at_orig_q,D1_k_at_orig_q,D1_p_at_orig_q,D1_orig_q_accepted,D1_largest_accepted_q
large/ARC/C2C,arc,448,V2 label source pointers into P2_5/P2_6/P2_9 train_cases.jsonl,True,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision,0,25,21,21,0,404,27,0.946938,False,0.0,0,0,0,0,0,404,7,0.000539697,True,0.9
large/MMLU-Pro/Text,mmlu_pro,6000,"$DATA_DIR/P2_MMLU_PRO_BREADTH_STAGE1_20260916T002337Z/shards/{1,2}/actions/cal.jsonl",False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision,n/a (A-D only),n/a (A-D only),n/a (A-D only),n/a,n/a,,,,n/a,,0,0,0,0,0,2358,67,1.33558e-07,True,0.4
large/MMLU-Pro/C2C,mmlu_pro,6000,"$DATA_DIR/P2_MMLU_PRO_BREADTH_STAGE1_20260916T002337Z/shards/{1,2}/actions/cal.jsonl",False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision,n/a (A-D only),n/a (A-D only),n/a (A-D only),n/a,n/a,,,,n/a,,0,0,0,0,0,2358,75,1.0127e-05,True,0.4
X1-Llama/OBQA/Text,obqa,1366,small-pair raw for R; $DATA_DIR/P2_R1_XFAM_20260919T095058Z/x1/results/runs/text_chain_*.jsonl for Text,True,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision,61,37,44,37,7,,,,n/a (fallback),0.0,0,0,0,0,0,,,,n/a (fallback),0.0
X1-Llama/OBQA/C2C,obqa,1366,small-pair raw for R; $DATA_DIR/P2_R1_XFAM_20260919T095058Z/x1/results/runs/c2c_chain_*.jsonl for C2C,True,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision,61,102,97,19,78,,,,n/a (fallback),0.0,0,0,0,0,0,,,,n/a (fallback),0.0
X1-Llama/ARC/Text,arc,448,small-pair raw for R; $DATA_DIR/P2_R1_XFAM_20260919T095058Z/x1/results/runs/text_chain_*.jsonl for Text,True,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision,50,26,31,26,5,,,,n/a (fallback),0.0,0,0,0,0,0,,,,n/a (fallback),0.0
X1-Llama/ARC/C2C,arc,448,small-pair raw for R; $DATA_DIR/P2_R1_XFAM_20260919T095058Z/x1/results/runs/c2c_chain_*.jsonl for C2C,True,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision,50,25,19,4,15,,,,n/a (fallback),0.0,0,0,0,0,0,,,,n/a (fallback),0.0
X2-OLMo/OBQA/Text,obqa,1366,$DATA_DIR/P2_R1_XFAM_20260919T095058Z/results/runs/chain_*.jsonl,True,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision,54,80,53,11,42,,,,n/a (fallback),0.0,0,0,0,0,0,,,,n/a (fallback),0.0
X2-OLMo/ARC/Text,arc,448,$DATA_DIR/P2_R1_XFAM_20260919T095058Z/results/runs/chain_*.jsonl,True,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision,36,34,34,13,21,,,,n/a (fallback),0.0,0,0,0,0,0,,,,n/a (fallback),0.0
X2-OLMo/MMLU-Pro/Text,mmlu_pro,6000,$DATA_DIR/P2_R1_XFAM_20260919T095058Z/results/runs/chain_*.jsonl,False,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision,n/a (A-D only),n/a (A-D only),n/a (A-D only),n/a,n/a,,,,n/a,,0,0,0,0,0,,,,n/a (fallback),0.0
