pair,dataset,family,n_actions,lambda,n,id,old_action,updated_action,old_correct,updated_correct
large,obqa,word,4,0.03,742,11-347,R,C,1,1
large,obqa,word,4,0.03,742,11-37,R,C,1,1
large,obqa,word,4,0.03,742,11-371,A,C,0,0
large,obqa,word,4,0.03,742,11-656,R,C,1,1
large,obqa,word,4,0.03,742,12-132,C,A,1,1
large,obqa,word,4,0.03,742,12-291,A,C,1,1
large,obqa,word,4,0.03,742,12-318,R,C,1,0
large,obqa,word,4,0.03,742,12-488,A,C,1,1
large,obqa,word,4,0.03,742,12-645,C,A,1,1
large,obqa,word,4,0.03,742,12-693,R,C,1,1
large,obqa,word,4,0.03,742,12-77,T,C,1,1
large,obqa,word,4,0.03,742,12-817,R,C,1,1
large,obqa,word,4,0.03,742,1232,C,A,1,1
large,obqa,word,4,0.03,742,13-216,R,C,1,1
large,obqa,word,4,0.03,742,13-462,T,C,1,1
large,obqa,word,4,0.03,742,13-504,R,C,1,1
large,obqa,word,4,0.03,742,13-550,A,C,1,1
large,obqa,word,4,0.03,742,14-1168,A,C,1,1
large,obqa,word,4,0.03,742,14-1170,R,C,1,1
large,obqa,word,4,0.03,742,14-1210,R,C,1,1
large,obqa,word,4,0.03,742,14-218,R,C,1,1
large,obqa,word,4,0.03,742,14-245,R,C,1,1
large,obqa,word,4,0.03,742,14-251,T,C,1,1
large,obqa,word,4,0.03,742,14-342,C,R,1,1
large,obqa,word,4,0.03,742,14-448,R,C,1,1
large,obqa,word,4,0.03,742,14-683,R,C,1,1
large,obqa,word,4,0.03,742,14-96,R,C,1,1
large,obqa,word,4,0.03,742,1547,C,A,1,1
large,obqa,word,4,0.03,742,19,A,C,0,0
large,obqa,word,4,0.03,742,7-1025,R,C,1,1
large,obqa,word,4,0.03,742,7-319,R,C,1,1
large,obqa,word,4,0.03,742,7-813,T,C,0,0
large,obqa,word,4,0.03,742,9-423,C,R,1,1
large,obqa,word,4,0.03,742,9-6,A,C,1,1
large,obqa,word,4,0.1,742,10-1005,A,C,1,1
large,obqa,word,4,0.1,742,10-233,R,C,1,1
large,obqa,word,4,0.1,742,10-724,R,C,0,0
large,obqa,word,4,0.1,742,11-523,A,C,0,0
large,obqa,word,4,0.1,742,11-666,R,C,1,1
large,obqa,word,4,0.1,742,1195,A,C,1,1
large,obqa,word,4,0.1,742,12-1206,R,C,0,1
large,obqa,word,4,0.1,742,13-1023,R,C,1,1
large,obqa,word,4,0.1,742,13-762,R,C,0,0
large,obqa,word,4,0.1,742,14-1168,A,C,1,1
large,obqa,word,4,0.1,742,14-1451,R,C,0,0
large,obqa,word,4,0.1,742,14-1467,R,C,1,1
large,obqa,word,4,0.1,742,14-457,R,C,1,1
large,obqa,word,4,0.1,742,14-897,A,C,1,1
large,obqa,word,4,0.1,742,1455,R,C,1,1
large,obqa,word,4,0.1,742,1927,R,C,1,1
large,obqa,word,4,0.1,742,8-23,R,C,1,1
large,obqa,word,4,0.1,742,8-420,C,R,1,1
large,obqa,word,4,0.1,742,9-1079,R,C,1,1
large,obqa,word,4,0.1,742,9-551,R,C,1,1
large,obqa,word,4,0.1,742,9-691,C,A,1,1
large,obqa,semantic,3,0,742,10-571,R,C,0,0
large,obqa,semantic,3,0,742,12-488,T,C,1,1
large,obqa,semantic,3,0,742,13-367,T,C,1,0
large,obqa,semantic,3,0,742,14-103,T,C,1,1
large,obqa,semantic,3,0,742,9-972,T,C,1,1
large,obqa,semantic,3,0.01,742,10-1068,R,C,1,1
large,obqa,semantic,3,0.01,742,10-1171,R,C,0,0
large,obqa,semantic,3,0.01,742,10-329,C,R,1,1
large,obqa,semantic,3,0.01,742,11-442,R,C,1,1
large,obqa,semantic,3,0.01,742,11-559,R,C,1,1
large,obqa,semantic,3,0.01,742,11-663,R,C,1,1
large,obqa,semantic,3,0.01,742,1107,T,C,0,0
large,obqa,semantic,3,0.01,742,12-251,T,C,1,1
large,obqa,semantic,3,0.01,742,12-488,R,C,1,1
large,obqa,semantic,3,0.01,742,12-577,C,R,1,1
large,obqa,semantic,3,0.01,742,12-92,T,C,1,1
large,obqa,semantic,3,0.01,742,13-367,R,C,1,0
large,obqa,semantic,3,0.01,742,14-103,R,C,1,1
large,obqa,semantic,3,0.01,742,14-1233,T,C,1,1
large,obqa,semantic,3,0.01,742,14-1329,T,C,1,1
large,obqa,semantic,3,0.01,742,14-311,T,C,1,1
large,obqa,semantic,3,0.01,742,14-347,R,C,1,1
large,obqa,semantic,3,0.01,742,14-629,C,R,1,1
large,obqa,semantic,3,0.01,742,14-655,R,C,1,1
large,obqa,semantic,3,0.01,742,14-757,R,C,1,1
large,obqa,semantic,3,0.01,742,14-977,T,C,1,1
large,obqa,semantic,3,0.01,742,7-1160,R,C,1,1
large,obqa,semantic,3,0.01,742,7-256,R,C,1,1
large,obqa,semantic,3,0.01,742,7-277,R,C,0,0
large,obqa,semantic,3,0.01,742,7-338,T,C,0,0
large,obqa,semantic,3,0.01,742,9-778,T,C,1,1
large,obqa,semantic,3,0.03,742,10-1068,R,C,1,1
large,obqa,semantic,3,0.03,742,10-233,R,C,1,1
large,obqa,semantic,3,0.03,742,10-329,C,R,1,1
large,obqa,semantic,3,0.03,742,10-352,R,C,1,1
large,obqa,semantic,3,0.03,742,10-386,C,R,1,1
large,obqa,semantic,3,0.03,742,10-443,R,C,1,1
large,obqa,semantic,3,0.03,742,10-752,R,C,1,1
large,obqa,semantic,3,0.03,742,11-282,R,C,0,0
large,obqa,semantic,3,0.03,742,11-371,R,C,0,0
large,obqa,semantic,3,0.03,742,11-442,R,C,1,1
large,obqa,semantic,3,0.03,742,11-559,R,C,1,1
large,obqa,semantic,3,0.03,742,11-629,R,C,1,1
large,obqa,semantic,3,0.03,742,11-686,R,C,0,0
large,obqa,semantic,3,0.03,742,1107,R,C,0,0
large,obqa,semantic,3,0.03,742,1122,C,R,0,0
large,obqa,semantic,3,0.03,742,12-105,R,C,0,0
large,obqa,semantic,3,0.03,742,12-116,R,C,1,1
large,obqa,semantic,3,0.03,742,12-264,R,C,1,1
large,obqa,semantic,3,0.03,742,12-275,R,C,1,1
large,obqa,semantic,3,0.03,742,12-824,R,C,1,1
large,obqa,semantic,3,0.03,742,12-92,R,C,1,1
large,obqa,semantic,3,0.03,742,13-367,R,C,1,0
large,obqa,semantic,3,0.03,742,13-462,R,C,1,1
large,obqa,semantic,3,0.03,742,13-655,R,C,0,0
large,obqa,semantic,3,0.03,742,13-954,R,C,1,1
large,obqa,semantic,3,0.03,742,14-103,R,C,1,1
large,obqa,semantic,3,0.03,742,14-1329,R,C,1,1
large,obqa,semantic,3,0.03,742,14-279,R,C,1,1
large,obqa,semantic,3,0.03,742,14-456,R,C,1,1
large,obqa,semantic,3,0.03,742,14-587,R,C,1,1
large,obqa,semantic,3,0.03,742,14-835,R,C,1,0
large,obqa,semantic,3,0.03,742,14-977,R,C,1,1
large,obqa,semantic,3,0.03,742,1547,R,C,1,1
large,obqa,semantic,3,0.03,742,7-1076,R,C,1,1
large,obqa,semantic,3,0.03,742,7-115,R,C,1,1
large,obqa,semantic,3,0.03,742,7-321,R,C,1,1
large,obqa,semantic,3,0.03,742,7-338,R,C,0,0
large,obqa,semantic,3,0.03,742,8-180,T,C,1,1
large,obqa,semantic,3,0.03,742,8-23,R,C,1,1
large,obqa,semantic,3,0.03,742,9-21,R,C,1,1
large,obqa,semantic,3,0.03,742,9-855,R,C,1,1
large,obqa,semantic,3,0.03,742,9-972,R,C,1,1
large,obqa,semantic,3,0.1,742,11-371,R,C,0,0
large,obqa,semantic,3,0.1,742,12-1163,R,C,1,1
large,obqa,semantic,3,0.1,742,14-316,R,C,0,0
large,obqa,semantic,3,0.1,742,14-352,R,C,1,1
large,obqa,semantic,3,0.1,742,7-43,R,C,1,1
large,obqa,semantic,3,0.1,742,9-778,R,C,1,1
large,obqa,semantic,3,0.3,742,11-742,C,R,1,1
large,obqa,semantic,3,0.3,742,13-276,C,R,0,0
large,obqa,semantic,4,0,742,12-488,T,C,1,1
large,obqa,semantic,4,0,742,13-367,T,C,1,0
large,obqa,semantic,4,0,742,9-972,T,C,1,1
large,obqa,semantic,4,0.01,742,10-1068,A,C,1,1
large,obqa,semantic,4,0.01,742,10-1171,R,C,0,0
large,obqa,semantic,4,0.01,742,10-329,C,A,1,1
large,obqa,semantic,4,0.01,742,11-442,A,C,1,1
large,obqa,semantic,4,0.01,742,11-559,A,C,1,1
large,obqa,semantic,4,0.01,742,1107,A,C,0,0
large,obqa,semantic,4,0.01,742,12-251,T,C,1,1
large,obqa,semantic,4,0.01,742,12-426,A,C,1,1
large,obqa,semantic,4,0.01,742,12-488,R,C,1,1
large,obqa,semantic,4,0.01,742,12-92,A,C,1,1
large,obqa,semantic,4,0.01,742,13-367,A,C,1,0
large,obqa,semantic,4,0.01,742,14-1233,T,C,1,1
large,obqa,semantic,4,0.01,742,14-1329,T,C,1,1
large,obqa,semantic,4,0.01,742,14-311,T,C,1,1
large,obqa,semantic,4,0.01,742,14-347,R,C,1,1
large,obqa,semantic,4,0.01,742,14-655,R,C,1,1
large,obqa,semantic,4,0.01,742,14-757,R,C,1,1
large,obqa,semantic,4,0.01,742,14-977,A,C,1,1
large,obqa,semantic,4,0.01,742,7-1160,A,C,1,1
large,obqa,semantic,4,0.01,742,7-256,R,C,1,1
large,obqa,semantic,4,0.01,742,7-277,A,C,0,0
large,obqa,semantic,4,0.01,742,7-338,T,C,0,0
large,obqa,semantic,4,0.01,742,9-778,T,C,1,1
large,obqa,semantic,4,0.03,742,10-1068,R,C,1,1
large,obqa,semantic,4,0.03,742,10-233,R,C,1,1
large,obqa,semantic,4,0.03,742,10-329,C,A,1,1
large,obqa,semantic,4,0.03,742,10-352,R,C,1,1
large,obqa,semantic,4,0.03,742,10-443,A,C,1,1
large,obqa,semantic,4,0.03,742,11-371,A,C,0,0
large,obqa,semantic,4,0.03,742,11-629,R,C,1,1
large,obqa,semantic,4,0.03,742,1122,C,R,0,0
large,obqa,semantic,4,0.03,742,12-105,R,C,0,0
large,obqa,semantic,4,0.03,742,12-116,R,C,1,1
large,obqa,semantic,4,0.03,742,12-264,R,C,1,1
large,obqa,semantic,4,0.03,742,12-275,R,C,1,1
large,obqa,semantic,4,0.03,742,12-824,R,C,1,1
large,obqa,semantic,4,0.03,742,13-367,R,C,1,0
large,obqa,semantic,4,0.03,742,13-462,R,C,1,1
large,obqa,semantic,4,0.03,742,13-655,R,C,0,0
large,obqa,semantic,4,0.03,742,14-1329,R,C,1,1
large,obqa,semantic,4,0.03,742,14-456,A,C,1,1
large,obqa,semantic,4,0.03,742,14-587,A,C,1,1
large,obqa,semantic,4,0.03,742,14-977,A,C,1,1
large,obqa,semantic,4,0.03,742,1547,R,C,1,1
large,obqa,semantic,4,0.03,742,7-115,R,C,1,1
large,obqa,semantic,4,0.03,742,7-338,A,C,0,0
large,obqa,semantic,4,0.03,742,8-180,A,C,1,1
large,obqa,semantic,4,0.03,742,8-23,R,C,1,1
large,obqa,semantic,4,0.03,742,9-855,R,C,1,1
large,obqa,semantic,4,0.03,742,9-972,R,C,1,1
large,obqa,semantic,4,0.1,742,11-371,R,C,0,0
large,obqa,semantic,4,0.1,742,12-1163,R,C,1,1
large,obqa,semantic,4,0.1,742,14-316,R,C,0,0
large,obqa,semantic,4,0.1,742,14-352,R,C,1,1
large,obqa,semantic,4,0.1,742,7-43,R,C,1,1
large,obqa,semantic,4,0.1,742,9-778,R,C,1,1
large,obqa,semantic,4,0.3,742,11-742,C,R,1,1
large,obqa,semantic,4,0.3,742,13-276,C,R,0,0
small,obqa,word,3,0,742,10-783,T,C,0,0
small,obqa,word,3,0,742,1033,T,C,1,1
small,obqa,word,3,0,742,12-1052,C,T,0,1
small,obqa,word,3,0,742,12-496,C,T,0,1
small,obqa,word,3,0,742,12-77,C,T,1,1
small,obqa,word,3,0,742,13-504,T,C,0,0
small,obqa,word,3,0,742,13-709,C,T,0,1
small,obqa,word,3,0,742,14-109,C,T,0,0
small,obqa,word,3,0,742,14-1422,C,R,0,0
small,obqa,word,3,0,742,14-1443,C,R,1,0
small,obqa,word,3,0,742,14-587,R,C,1,1
small,obqa,word,3,0,742,154,T,C,0,0
small,obqa,word,3,0,742,7-40,T,C,0,0
small,obqa,word,3,0,742,7-813,C,T,0,1
small,obqa,word,3,0,742,71,T,C,1,1
small,obqa,word,3,0.01,742,10-1152,T,C,0,0
small,obqa,word,3,0.01,742,10-894,T,C,0,1
small,obqa,word,3,0.01,742,12-251,T,C,0,0
small,obqa,word,3,0.01,742,13-438,T,C,1,0
small,obqa,word,3,0.01,742,14-1068,T,C,0,0
small,obqa,word,3,0.01,742,14-1422,C,R,0,0
small,obqa,word,3,0.01,742,14-1443,C,R,1,0
small,obqa,word,3,0.01,742,14-181,T,C,1,1
small,obqa,word,3,0.01,742,14-587,R,C,1,1
small,obqa,word,3,0.01,742,7-166,T,C,1,1
small,obqa,word,3,0.03,742,10-1217,T,C,1,1
small,obqa,word,3,0.03,742,12-251,R,C,0,0
small,obqa,word,3,0.03,742,14-167,C,T,0,0
small,obqa,word,3,0.03,742,14-60,T,C,0,0
small,obqa,word,3,0.03,742,7-500,T,C,0,0
small,obqa,word,3,0.03,742,8-323,C,T,1,1
small,obqa,word,3,0.03,742,9-400,R,C,1,1
small,obqa,word,3,0.1,742,10-1044,R,C,1,1
small,obqa,word,3,0.1,742,10-864,T,C,1,0
small,obqa,word,3,0.1,742,11-663,C,R,0,0
small,obqa,word,3,0.1,742,11-679,C,R,1,0
small,obqa,word,3,0.1,742,12-1052,C,R,0,0
small,obqa,word,3,0.1,742,12-251,R,C,0,0
small,obqa,word,3,0.1,742,13-9,C,R,1,1
small,obqa,word,3,0.1,742,14-1451,R,C,0,0
small,obqa,word,3,0.1,742,14-628,C,R,1,1
small,obqa,word,3,0.1,742,9-400,R,C,1,1
small,obqa,word,3,0.3,742,10-1085,R,C,1,1
small,obqa,word,3,0.3,742,1144,R,C,0,1
small,obqa,word,3,0.3,742,12-958,R,C,0,0
small,obqa,word,3,0.3,742,14-200,R,C,0,0
small,obqa,word,3,0.3,742,14-948,R,C,1,1
small,obqa,word,3,0.3,742,7-1025,R,C,1,0
small,obqa,word,3,0.3,742,8-323,C,R,1,0
small,obqa,word,3,1,742,10-399,R,C,1,1
small,obqa,word,3,1,742,10-489,R,C,1,0
small,obqa,word,3,1,742,10-516,R,C,0,0
small,obqa,word,3,1,742,1033,R,C,1,1
small,obqa,word,3,1,742,12-1,R,C,1,1
small,obqa,word,3,1,742,12-306,C,R,0,0
small,obqa,word,3,1,742,12-77,C,R,1,1
small,obqa,word,3,1,742,14-807,C,R,1,1
small,obqa,word,3,1,742,9-750,R,C,0,0
small,obqa,word,3,3,742,10-876,R,C,0,0
small,obqa,word,3,3,742,1286,R,C,0,0
small,obqa,word,3,3,742,7-813,C,R,0,0
small,obqa,word,4,0,742,10-783,T,C,0,0
small,obqa,word,4,0,742,1033,T,C,1,1
small,obqa,word,4,0,742,12-1052,C,T,0,1
small,obqa,word,4,0,742,12-22,A,C,0,1
small,obqa,word,4,0,742,12-496,C,T,0,1
small,obqa,word,4,0,742,12-77,C,T,1,1
small,obqa,word,4,0,742,13-504,T,C,0,0
small,obqa,word,4,0,742,13-709,C,T,0,1
small,obqa,word,4,0,742,14-109,C,T,0,0
small,obqa,word,4,0,742,14-1422,C,R,0,0
small,obqa,word,4,0,742,14-1443,C,R,1,0
small,obqa,word,4,0,742,14-587,R,C,1,1
small,obqa,word,4,0,742,154,T,C,0,0
small,obqa,word,4,0,742,7-40,T,C,0,0
small,obqa,word,4,0,742,7-813,C,T,0,1
small,obqa,word,4,0,742,71,T,C,1,1
small,obqa,word,4,0.01,742,10-1152,T,C,0,0
small,obqa,word,4,0.01,742,10-894,T,C,0,1
small,obqa,word,4,0.01,742,12-22,A,C,0,1
small,obqa,word,4,0.01,742,12-251,T,C,0,0
small,obqa,word,4,0.01,742,13-438,T,C,1,0
small,obqa,word,4,0.01,742,14-1068,T,C,0,0
small,obqa,word,4,0.01,742,14-1422,C,R,0,0
small,obqa,word,4,0.01,742,14-1443,C,R,1,0
small,obqa,word,4,0.01,742,14-181,T,C,1,1
small,obqa,word,4,0.01,742,14-587,R,C,1,1
small,obqa,word,4,0.01,742,7-166,T,C,1,1
small,obqa,word,4,0.03,742,10-1217,T,C,1,1
small,obqa,word,4,0.03,742,12-22,A,C,0,1
small,obqa,word,4,0.03,742,12-251,R,C,0,0
small,obqa,word,4,0.03,742,14-167,C,T,0,0
small,obqa,word,4,0.03,742,14-60,T,C,0,0
small,obqa,word,4,0.03,742,7-500,T,C,0,0
small,obqa,word,4,0.03,742,8-323,C,T,1,1
small,obqa,word,4,0.03,742,9-400,R,C,1,1
small,obqa,word,4,0.1,742,10-1044,R,C,1,1
small,obqa,word,4,0.1,742,10-864,T,C,1,0
small,obqa,word,4,0.1,742,11-663,C,R,0,0
small,obqa,word,4,0.1,742,11-679,C,R,1,0
small,obqa,word,4,0.1,742,12-1052,C,R,0,0
small,obqa,word,4,0.1,742,12-251,R,C,0,0
small,obqa,word,4,0.1,742,13-9,C,R,1,1
small,obqa,word,4,0.1,742,14-1451,R,C,0,0
small,obqa,word,4,0.1,742,14-628,C,R,1,1
small,obqa,word,4,0.1,742,9-400,R,C,1,1
small,obqa,word,4,0.3,742,10-1085,R,C,1,1
small,obqa,word,4,0.3,742,1144,R,C,0,1
small,obqa,word,4,0.3,742,12-958,R,C,0,0
small,obqa,word,4,0.3,742,14-1467,C,A,0,0
small,obqa,word,4,0.3,742,14-200,R,C,0,0
small,obqa,word,4,0.3,742,7-1025,R,C,1,0
small,obqa,word,4,0.3,742,8-323,C,R,1,0
small,obqa,word,4,1,742,10-399,R,C,1,1
small,obqa,word,4,1,742,10-489,R,C,1,0
small,obqa,word,4,1,742,10-516,R,C,0,0
small,obqa,word,4,1,742,1033,R,C,1,1
small,obqa,word,4,1,742,12-1,R,C,1,1
small,obqa,word,4,1,742,12-306,C,R,0,0
small,obqa,word,4,1,742,12-77,C,R,1,1
small,obqa,word,4,1,742,14-807,C,R,1,1
small,obqa,word,4,1,742,9-750,R,C,0,0
small,obqa,word,4,3,742,10-876,R,C,0,0
small,obqa,word,4,3,742,1286,R,C,0,0
small,obqa,word,4,3,742,7-813,C,R,0,0
small,obqa,semantic,3,0,742,10-1142,T,C,1,1
small,obqa,semantic,3,0,742,10-1171,C,R,0,0
small,obqa,semantic,3,0,742,10-170,T,C,0,0
small,obqa,semantic,3,0,742,11-679,C,T,1,1
small,obqa,semantic,3,0,742,11-693,C,T,1,0
small,obqa,semantic,3,0,742,11-747,R,C,0,1
small,obqa,semantic,3,0,742,12-1108,T,C,1,1
small,obqa,semantic,3,0,742,12-669,T,C,0,0
small,obqa,semantic,3,0,742,13-152,T,C,1,1
small,obqa,semantic,3,0,742,13-271,C,T,1,0
small,obqa,semantic,3,0,742,13-631,T,C,1,1
small,obqa,semantic,3,0,742,14-264,C,T,1,0
small,obqa,semantic,3,0,742,14-67,C,R,0,0
small,obqa,semantic,3,0,742,14-903,T,C,1,1
small,obqa,semantic,3,0,742,1927,T,C,0,1
small,obqa,semantic,3,0,742,9-628,C,T,0,1
small,obqa,semantic,3,0.01,742,10-1171,C,R,0,0
small,obqa,semantic,3,0.01,742,10-780,T,C,1,1
small,obqa,semantic,3,0.01,742,11-141,T,C,1,1
small,obqa,semantic,3,0.01,742,11-652,T,C,1,0
small,obqa,semantic,3,0.01,742,11-747,R,C,0,1
small,obqa,semantic,3,0.01,742,12-468,T,C,1,1
small,obqa,semantic,3,0.01,742,12-577,R,C,0,0
small,obqa,semantic,3,0.01,742,13-660,T,C,0,1
small,obqa,semantic,3,0.01,742,14-1362,T,C,1,1
small,obqa,semantic,3,0.01,742,14-1451,C,T,0,0
small,obqa,semantic,3,0.01,742,14-352,T,C,0,0
small,obqa,semantic,3,0.01,742,14-409,T,C,0,1
small,obqa,semantic,3,0.01,742,14-60,C,T,0,0
small,obqa,semantic,3,0.03,742,10-1171,C,R,0,0
small,obqa,semantic,3,0.03,742,12-397,R,C,0,1
small,obqa,semantic,3,0.03,742,12-84,T,C,1,0
small,obqa,semantic,3,0.03,742,12-950,T,C,1,1
small,obqa,semantic,3,0.03,742,14-290,C,T,1,0
small,obqa,semantic,3,0.03,742,14-456,T,C,1,1
small,obqa,semantic,3,0.03,742,870,T,C,0,0
small,obqa,semantic,3,0.03,742,9-551,C,R,1,0
small,obqa,semantic,3,0.03,742,9-795,T,C,0,1
small,obqa,semantic,3,0.03,742,9-831,T,C,1,1
small,obqa,semantic,3,0.1,742,10-55,R,C,1,0
small,obqa,semantic,3,0.1,742,10-596,R,C,0,1
small,obqa,semantic,3,0.1,742,11-349,R,C,1,1
small,obqa,semantic,3,0.1,742,13-446,R,C,0,1
small,obqa,semantic,3,0.1,742,14-1038,R,C,0,0
small,obqa,semantic,3,0.1,742,499,T,C,1,1
