role	pair	dataset	family	fold	path	sha256	source	status
IndepLR_A	large	obqa	word	0	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold0/large/IndepLR_A.joblib	785205fb249792baf2b37a5d3e3838687162407402f30ce6c45f7f596d8cbb0f	frozen train fold only	COMPLETE
FFR_T	small	obqa	word	0	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold0/small/FFR_T.joblib	028958e25b7a8dd754b9f826306b651d95963a79a8b67d1add2c6bd099c1aef0	frozen train fold only	COMPLETE
FFR_C	small	obqa	word	0	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold0/small/FFR_C.joblib	2570a427cf1df7878153b51452e4cc3672308d292f8f7a0426bf76959ca2c8aa	frozen train fold only	COMPLETE
FFR_A	small	obqa	word	0	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold0/small/FFR_A.joblib	5cfaceaea2d9f907439b7f6e7db224e78b16b4531d6f035e30a7ea27e7540ac1	frozen train fold only	COMPLETE
IndepLR_R	small	obqa	word	0	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold0/small/IndepLR_R.joblib	f78285ef20783e39071dd1f9db60831f08200397e8f56648d0fecf268a70d2ba	frozen train fold only	COMPLETE
IndepLR_T	small	obqa	word	0	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold0/small/IndepLR_T.joblib	43731254ad848b35fb31089f3ebeeb18ce9c54f86c69617e30543fca345cbff0	frozen train fold only	COMPLETE
IndepLR_C	small	obqa	word	0	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold0/small/IndepLR_C.joblib	28d56dfa16f365081aa495dc705413b4e9716dddd66492c7263704381c85f79f	frozen train fold only	COMPLETE
IndepLR_A	small	obqa	word	0	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold0/small/IndepLR_A.joblib	c3a9a2ddf88a9ba99f6a4984a4f80eb5079bf26a72349989608de62619f871af	frozen train fold only	COMPLETE
FFR_T	large	obqa	word	1	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold1/large/FFR_T.joblib	9527ef4156f93d9262cf838136a9b5a44b52b82c2ecde3307a4377db585909bb	frozen train fold only	COMPLETE
FFR_C	large	obqa	word	1	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold1/large/FFR_C.joblib	31756cb4b79f3d01c5bf6f70a97779419484ed75156fb04e34822c378ee73237	frozen train fold only	COMPLETE
FFR_A	large	obqa	word	1	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold1/large/FFR_A.joblib	e664d6a1d9c1f11f1a0494375d1d3c54abde248c529249b13c05742cdb12b39f	frozen train fold only	COMPLETE
IndepLR_R	large	obqa	word	1	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold1/large/IndepLR_R.joblib	9fa609ce25f6cf8f3b7c030cb5d9a9d08ed9cec99478cd5b1d4def07d8f84715	frozen train fold only	COMPLETE
IndepLR_T	large	obqa	word	1	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold1/large/IndepLR_T.joblib	6b7f6d9232338fc1f181a78ed7556d77b575e3d93ee371f661cfbacfd7fee515	frozen train fold only	COMPLETE
IndepLR_C	large	obqa	word	1	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold1/large/IndepLR_C.joblib	c6d712a4941dd022a84dc8c5da1a592ba645e8187f7b6efd799a2fe8219b7bfb	frozen train fold only	COMPLETE
IndepLR_A	large	obqa	word	1	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold1/large/IndepLR_A.joblib	9ed463851c0529ab3983184c3737ba916a5a74c1d5b58296494776be996f2b74	frozen train fold only	COMPLETE
FFR_T	small	obqa	word	1	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold1/small/FFR_T.joblib	98b2a79bc91c56b082e617e0960ea389a3036890638b3ec0b9af77d9cd86effc	frozen train fold only	COMPLETE
FFR_C	small	obqa	word	1	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold1/small/FFR_C.joblib	05a59f31965ddbb6a112e26ce15d101d93cea1073734110e89e4ddf03dc0d4d1	frozen train fold only	COMPLETE
FFR_A	small	obqa	word	1	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold1/small/FFR_A.joblib	12ffbc5aff0190fa9bdd82a34c417c09316991e4a9369d4260e27fdd68fde275	frozen train fold only	COMPLETE
IndepLR_R	small	obqa	word	1	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold1/small/IndepLR_R.joblib	db248279d946f396d77809ff994cf6e6177cbe85920c62c39bc5a5a2499869cc	frozen train fold only	COMPLETE
IndepLR_T	small	obqa	word	1	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold1/small/IndepLR_T.joblib	bf1e07efb9c9e01f0ddcbca80695ac1771763c4f42f918df40a6f791c2545383	frozen train fold only	COMPLETE
IndepLR_C	small	obqa	word	1	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold1/small/IndepLR_C.joblib	c58725b6e7fb6f870848c5283f1b4b3ffa103b7e0096cb4504e488c595863fcd	frozen train fold only	COMPLETE
IndepLR_A	small	obqa	word	1	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold1/small/IndepLR_A.joblib	be4e257360440c6e120b7dafc4d82ce5b40d9b685d4e6d9a075b24f32bbab5d9	frozen train fold only	COMPLETE
FFR_T	large	obqa	word	2	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold2/large/FFR_T.joblib	5445328c5d9133532cf85e30adcc74651febf38189b6182b0227e5017b2de7e6	frozen train fold only	COMPLETE
FFR_C	large	obqa	word	2	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold2/large/FFR_C.joblib	8c80e424971914c524fff19d346c696d931b2aad956969675918a6af73a8816c	frozen train fold only	COMPLETE
FFR_A	large	obqa	word	2	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold2/large/FFR_A.joblib	1b3a5c83fd67fccc20ccf7e6c60b5e232543f498c0eb558d5d87f9d97ec6b38a	frozen train fold only	COMPLETE
IndepLR_R	large	obqa	word	2	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold2/large/IndepLR_R.joblib	602e394229a8fccf50baf3639dfdc670015815061858d57eaf0e2b512b9f626f	frozen train fold only	COMPLETE
IndepLR_T	large	obqa	word	2	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold2/large/IndepLR_T.joblib	eeb983dd37c86943210ea2a1074f518bde51ad5be6acb295c8d26cf8f648b52c	frozen train fold only	COMPLETE
IndepLR_C	large	obqa	word	2	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold2/large/IndepLR_C.joblib	f4ffa74562938fddb0b42e97b830327ad598567efd69231d1a7f8da611135d01	frozen train fold only	COMPLETE
IndepLR_A	large	obqa	word	2	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold2/large/IndepLR_A.joblib	a9e1358df5b348acddf95c04e7ef2d969083401324bb74eaaf8933631fcc57b9	frozen train fold only	COMPLETE
FFR_T	small	obqa	word	2	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold2/small/FFR_T.joblib	bbc39791d996d09117304d2cc2359c6a2ad15712f02bd9a80c9df378ac997d81	frozen train fold only	COMPLETE
FFR_C	small	obqa	word	2	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold2/small/FFR_C.joblib	4d4467ff4c8712c590a3ef854d9b59264cd68756db8f55a24886fc7858684275	frozen train fold only	COMPLETE
FFR_A	small	obqa	word	2	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold2/small/FFR_A.joblib	7f6f2fb532d5b3743a3e530fe71cd248ad637fef435b179d42cc2142c3c56fd6	frozen train fold only	COMPLETE
IndepLR_R	small	obqa	word	2	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold2/small/IndepLR_R.joblib	b58650834346b9bca405d7f61fc4ef1ac8a1d2ba42ecce6eb5ac8a68b1ee8a28	frozen train fold only	COMPLETE
IndepLR_T	small	obqa	word	2	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold2/small/IndepLR_T.joblib	634691eb711f3bc1d9ce81d6606981bfca6947748c7dd631dc2bb3be15e9e57e	frozen train fold only	COMPLETE
IndepLR_C	small	obqa	word	2	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold2/small/IndepLR_C.joblib	7f7acdb19fdcba4b4f3044f00649f7a64151e5865932964ff6f62af1f214b493	frozen train fold only	COMPLETE
IndepLR_A	small	obqa	word	2	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold2/small/IndepLR_A.joblib	a3febe2174027bda720d3bc1a473b9034e9c7b05a46ba4ed5033e03256f50de9	frozen train fold only	COMPLETE
FFR_T	large	obqa	word	3	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold3/large/FFR_T.joblib	c2c959c6deb01eb76d23afe2f7d3f8672073312d29d1645aae563c26b75660cd	frozen train fold only	COMPLETE
FFR_C	large	obqa	word	3	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold3/large/FFR_C.joblib	2967cb136511d7e654c33b04fd72f16d137875635e26755f2c4a078e5cc6a3db	frozen train fold only	COMPLETE
FFR_A	large	obqa	word	3	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold3/large/FFR_A.joblib	080bd7962af40dc3c4cdbf6e5dea7625e2ec0a1f4e2976ee5212a6a57cb9aa0f	frozen train fold only	COMPLETE
IndepLR_R	large	obqa	word	3	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold3/large/IndepLR_R.joblib	579778c638037ee08eb5c9deaaaca3b7e7e4a363e9bb3beb417abc9ee069269d	frozen train fold only	COMPLETE
IndepLR_T	large	obqa	word	3	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold3/large/IndepLR_T.joblib	a1d4a36b495a96efbcb2a5a40c4158de2f0fb3aa4ab286d45af34bab1eb0a214	frozen train fold only	COMPLETE
IndepLR_C	large	obqa	word	3	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold3/large/IndepLR_C.joblib	3d22ca37b279d376cfe6e5a26ad23d4655968c70e9ef2584b1c18370965ef6b4	frozen train fold only	COMPLETE
IndepLR_A	large	obqa	word	3	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold3/large/IndepLR_A.joblib	2ada50e7e557f2ba664432a7299e2d10de6da409aa2834aa8b6b748fa160d737	frozen train fold only	COMPLETE
FFR_T	small	obqa	word	3	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold3/small/FFR_T.joblib	c1c864c02efddcc97312020035f8e40a105cdbfa9c321c43bf00614fe76d4445	frozen train fold only	COMPLETE
FFR_C	small	obqa	word	3	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold3/small/FFR_C.joblib	fdf0c5d180c1d868e626a0d6aa4c87010b32c1a2135698913cca797a7c802b71	frozen train fold only	COMPLETE
FFR_A	small	obqa	word	3	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold3/small/FFR_A.joblib	fb6ae0a5428a7ccaa1d6fc4d5f38e0850a096ab3e61312ff3ec7fa7cff5d647d	frozen train fold only	COMPLETE
IndepLR_R	small	obqa	word	3	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold3/small/IndepLR_R.joblib	23bf2d069a74c6dd01c2b5a1ec28f664320e406c62a75b07dff06164fcba3a9a	frozen train fold only	COMPLETE
IndepLR_T	small	obqa	word	3	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold3/small/IndepLR_T.joblib	580c1c08b5022c7821d2d24c20c961410971a1944fa89c5f0ffa8ae8204d0e30	frozen train fold only	COMPLETE
IndepLR_C	small	obqa	word	3	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold3/small/IndepLR_C.joblib	057f50051cc4edfcdeb2c4b0050b114b64142abb902faf3b6b8ee97079f97b91	frozen train fold only	COMPLETE
IndepLR_A	small	obqa	word	3	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold3/small/IndepLR_A.joblib	661f8f3e92eaa4f8ae22f014ff09ae06ecba2d05a49192be7af5b45c420dfc07	frozen train fold only	COMPLETE
FFR_T	large	obqa	word	4	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold4/large/FFR_T.joblib	ca1ab2d33306ed60e3f33b66d44ee33649ddcb2e8f7a1a46a9c59f92fb19d759	frozen train fold only	COMPLETE
FFR_C	large	obqa	word	4	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold4/large/FFR_C.joblib	4d01a5819c2bad15a4078a185a207fe8b9259f20b5313310663c679b4dd13496	frozen train fold only	COMPLETE
FFR_A	large	obqa	word	4	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold4/large/FFR_A.joblib	be80d435cfa48069560dfa52a0794872527cf82afc911de6ad09e239a65689cb	frozen train fold only	COMPLETE
IndepLR_R	large	obqa	word	4	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold4/large/IndepLR_R.joblib	6c4d669f29e3b3e772b7b2655f653f3f02ce174bd438dca34be77d822558dd02	frozen train fold only	COMPLETE
IndepLR_T	large	obqa	word	4	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold4/large/IndepLR_T.joblib	7f322c83e498787113782b3c595b10be6c8edd3fee5f9951d94c287c7c390904	frozen train fold only	COMPLETE
IndepLR_C	large	obqa	word	4	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold4/large/IndepLR_C.joblib	332a4233a1be8f19a9247030088767e5935169fc80a150fe0be9ac2de2872e1b	frozen train fold only	COMPLETE
IndepLR_A	large	obqa	word	4	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold4/large/IndepLR_A.joblib	6f3a820e5bfe92ff580914fbab9ffddabc05b0a09a2d2ba9e5354537ff5d1be8	frozen train fold only	COMPLETE
FFR_T	small	obqa	word	4	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold4/small/FFR_T.joblib	e62b30be95ee8b59529fd67ecdfd29dce4d9ed3ef5ec7371faadf67ff2f0a2e8	frozen train fold only	COMPLETE
FFR_C	small	obqa	word	4	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold4/small/FFR_C.joblib	51d117764b794bd764eb2bedc3028faedc87f482e781ff17b397e65702d3aeba	frozen train fold only	COMPLETE
FFR_A	small	obqa	word	4	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold4/small/FFR_A.joblib	68c71dcadbe42dea8bc2733f0e4c04c1a2e415450af714f22265f68956c51d69	frozen train fold only	COMPLETE
IndepLR_R	small	obqa	word	4	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold4/small/IndepLR_R.joblib	b0766287e7632ddc4a8fc2f46c759fdc63c9ac8f0c2a53442dddad83c689b93f	frozen train fold only	COMPLETE
IndepLR_T	small	obqa	word	4	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold4/small/IndepLR_T.joblib	e9d8d323a6fbd11fd0cec1d50ecff9eea8ff479f00cc9cc421a52cef6c16d86d	frozen train fold only	COMPLETE
IndepLR_C	small	obqa	word	4	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold4/small/IndepLR_C.joblib	9bde4db34c18d9921a4d151ff42f56ce46a35a0ef28d440b1e28d02a1edadf7f	frozen train fold only	COMPLETE
IndepLR_A	small	obqa	word	4	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold4/small/IndepLR_A.joblib	b1b35759b9330826dfd8baca882c17a882626a735efbcb297e3cbb6b6d247aaa	frozen train fold only	COMPLETE
FFR_T	large	obqa	semantic	0	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/semantic/fold0/large/FFR_T.joblib	976f8e7fcebc6763736186cc8e1a9c34135ac1c7aedbd4c246b41e9d3aeecf4a	frozen train fold only	COMPLETE
FFR_C	large	obqa	semantic	0	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/semantic/fold0/large/FFR_C.joblib	4cdc5aa5f8111570fb80fb74ca99dd78f7414dffe5134dfa5b167a1df0de0d6d	frozen train fold only	COMPLETE
FFR_A	large	obqa	semantic	0	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/semantic/fold0/large/FFR_A.joblib	6154c117089eea524f1bdd19c9c3b92bb5f80b831cae4fdbd3f910646369a585	frozen train fold only	COMPLETE
IndepLR_R	large	obqa	semantic	0	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/semantic/fold0/large/IndepLR_R.joblib	bc3b70b9a85ca8f747dcacba7e3d1b3bb553326aeecae8601198a670ee4f5b6d	frozen train fold only	COMPLETE
IndepLR_T	large	obqa	semantic	0	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/semantic/fold0/large/IndepLR_T.joblib	7b44aa6f7ea9497694d3b08e1dae36e36fd739b5400acd68fe719835cb7a410c	frozen train fold only	COMPLETE
IndepLR_C	large	obqa	semantic	0	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/semantic/fold0/large/IndepLR_C.joblib	127989d675b4062901c40f63404abe2589badc0ab574ee717b44b475f30db34c	frozen train fold only	COMPLETE
IndepLR_A	large	obqa	semantic	0	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/semantic/fold0/large/IndepLR_A.joblib	9ce7b1b73b57dddb38c79b48c2bc28b3bcec9e7a46947382e678662358640100	frozen train fold only	COMPLETE
FFR_T	small	obqa	semantic	0	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/semantic/fold0/small/FFR_T.joblib	aba6788e649fe34053838c7dd5b92939dd62f13350049f03d9ab58f084aabb77	frozen train fold only	COMPLETE
FFR_C	small	obqa	semantic	0	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/semantic/fold0/small/FFR_C.joblib	a22417ff02121d9fbd78e3ee43fbbd99920a7a976565f8ebe519d080e2600848	frozen train fold only	COMPLETE
FFR_A	small	obqa	semantic	0	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/semantic/fold0/small/FFR_A.joblib	23b4a18317c0545c7c81f47e5aad322a2778d69149616c0803d5d8b7cdef5d77	frozen train fold only	COMPLETE
IndepLR_R	small	obqa	semantic	0	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/semantic/fold0/small/IndepLR_R.joblib	e5e7a179ad9f735372c1a6bea9f9e25be11d4c096467c68497109fed73886174	frozen train fold only	COMPLETE
