population,pair,dataset,split,action,scheme,reason,count
full,small,arc,train,acw,D1,explicit_single,913
full,small,arc,train,acw,V2,empty,30
full,small,arc,train,acw,V2,explicit_single,913
full,small,arc,train,acw,V2,multiple_options,176
full,small,arc,train,acw,old,legacy_parse_failure,30
full,small,arc,train,acw,old,saved_valid,913
full,small,arc,train,acw,old,unresolved_multiple_options,176
full,small,arc,train,c2c,D1,declaration_without_label,1
full,small,arc,train,c2c,D1,explicit_multiple_options,5
full,small,arc,train,c2c,D1,explicit_single,1111
full,small,arc,train,c2c,D1,no_explicit_answer,2
full,small,arc,train,c2c,V2,explicit_single,1113
full,small,arc,train,c2c,V2,multiple_options,5
full,small,arc,train,c2c,V2,no_explicit_option,1
full,small,arc,train,c2c,old,legacy_parse_failure,8
full,small,arc,train,c2c,old,saved_valid,1106
full,small,arc,train,c2c,old,unresolved_multiple_options,5
full,small,arc,train,receiver_only,D1,explicit_multiple_options,109
full,small,arc,train,receiver_only,D1,explicit_single,1010
full,small,arc,train,receiver_only,V2,explicit_single,1010
full,small,arc,train,receiver_only,V2,multiple_options,109
full,small,arc,train,receiver_only,old,saved_valid,1010
full,small,arc,train,receiver_only,old,unresolved_multiple_options,109
full,small,arc,train,text,D1,explicit_multiple_options,127
full,small,arc,train,text,D1,explicit_single,992
full,small,arc,train,text,V2,explicit_single,992
full,small,arc,train,text,V2,multiple_options,127
full,small,arc,train,text,old,saved_valid,992
full,small,arc,train,text,old,unresolved_multiple_options,127
full,small,arc,validation,acw,D1,empty,13
full,small,arc,validation,acw,D1,explicit_multiple_options,45
full,small,arc,validation,acw,D1,explicit_single,241
full,small,arc,validation,acw,V2,empty,13
full,small,arc,validation,acw,V2,explicit_single,241
full,small,arc,validation,acw,V2,multiple_options,45
full,small,arc,validation,acw,old,legacy_parse_failure,13
full,small,arc,validation,acw,old,saved_valid,241
full,small,arc,validation,acw,old,unresolved_multiple_options,45
full,small,arc,validation,c2c,D1,explicit_multiple_options,4
full,small,arc,validation,c2c,D1,explicit_single,294
full,small,arc,validation,c2c,D1,no_explicit_answer,1
full,small,arc,validation,c2c,V2,explicit_single,294
full,small,arc,validation,c2c,V2,multiple_options,4
full,small,arc,validation,c2c,V2,no_explicit_option,1
full,small,arc,validation,c2c,old,legacy_parse_failure,2
full,small,arc,validation,c2c,old,saved_valid,293
full,small,arc,validation,c2c,old,unresolved_multiple_options,4
full,small,arc,validation,receiver_only,D1,explicit_multiple_options,32
full,small,arc,validation,receiver_only,D1,explicit_single,267
full,small,arc,validation,receiver_only,V2,explicit_single,267
full,small,arc,validation,receiver_only,V2,multiple_options,32
full,small,arc,validation,receiver_only,old,saved_valid,267
full,small,arc,validation,receiver_only,old,unresolved_multiple_options,32
full,small,arc,validation,text,D1,explicit_multiple_options,21
full,small,arc,validation,text,D1,explicit_single,278
full,small,arc,validation,text,V2,explicit_single,278
full,small,arc,validation,text,V2,multiple_options,21
full,small,arc,validation,text,old,saved_valid,278
full,small,arc,validation,text,old,unresolved_multiple_options,21
full,small,obqa,dev,acw,D1,empty,2
full,small,obqa,dev,acw,D1,explicit_multiple_options,61
full,small,obqa,dev,acw,D1,explicit_single,679
full,small,obqa,dev,acw,V2,empty,2
full,small,obqa,dev,acw,V2,explicit_single,679
full,small,obqa,dev,acw,V2,multiple_options,61
full,small,obqa,dev,acw,old,legacy_parse_failure,2
full,small,obqa,dev,acw,old,saved_valid,679
full,small,obqa,dev,acw,old,unresolved_multiple_options,61
full,small,obqa,dev,c2c,D1,explicit_single,742
full,small,obqa,dev,c2c,V2,explicit_single,742
full,small,obqa,dev,c2c,old,legacy_parse_failure,1
full,small,obqa,dev,c2c,old,saved_valid,741
full,small,obqa,dev,receiver_only,D1,explicit_multiple_options,25
full,small,obqa,dev,receiver_only,D1,explicit_single,717
full,small,obqa,dev,receiver_only,V2,explicit_single,717
full,small,obqa,dev,receiver_only,V2,multiple_options,25
full,small,obqa,dev,receiver_only,old,saved_valid,717
full,small,obqa,dev,receiver_only,old,unresolved_multiple_options,25
full,small,obqa,dev,text,D1,explicit_multiple_options,38
full,small,obqa,dev,text,D1,explicit_single,704
full,small,obqa,dev,text,V2,explicit_single,704
full,small,obqa,dev,text,V2,multiple_options,38
full,small,obqa,dev,text,old,saved_valid,704
full,small,obqa,dev,text,old,unresolved_multiple_options,38
full,small,obqa,train,acw,D1,empty,15
full,small,obqa,train,acw,D1,explicit_multiple_options,320
full,small,obqa,train,acw,D1,explicit_single,3131
full,small,obqa,train,acw,V2,empty,15
full,small,obqa,train,acw,V2,explicit_single,3131
full,small,obqa,train,acw,V2,multiple_options,320
full,small,obqa,train,acw,old,legacy_parse_failure,15
full,small,obqa,train,acw,old,saved_valid,3131
full,small,obqa,train,acw,old,unresolved_multiple_options,320
full,small,obqa,train,c2c,D1,declaration_without_label,1
full,small,obqa,train,c2c,D1,explicit_multiple_options,1
full,small,obqa,train,c2c,D1,explicit_single,3463
full,small,obqa,train,c2c,D1,no_explicit_answer,1
full,small,obqa,train,c2c,V2,explicit_single,3465
full,small,obqa,train,c2c,V2,no_explicit_option,1
full,small,obqa,train,c2c,old,legacy_parse_failure,5
full,small,obqa,train,c2c,old,saved_valid,3461
full,small,obqa,train,receiver_only,D1,explicit_multiple_options,159
full,small,obqa,train,receiver_only,D1,explicit_single,3307
full,small,obqa,train,receiver_only,V2,explicit_single,3307
full,small,obqa,train,receiver_only,V2,multiple_options,159
full,small,obqa,train,receiver_only,old,saved_valid,3307
full,small,obqa,train,receiver_only,old,unresolved_multiple_options,159
full,small,obqa,train,text,D1,explicit_multiple_options,209
full,small,obqa,train,text,D1,explicit_single,3257
full,small,obqa,train,text,V2,explicit_single,3257
full,small,obqa,train,text,V2,multiple_options,209
full,small,obqa,train,text,old,saved_valid,3257
full,small,obqa,train,text,old,unresolved_multiple_options,209
panel,large,arc,train,acw,D1,explicit_single,255
panel,large,arc,train,acw,D1,no_explicit_answer,1
panel,large,arc,train,acw,V2,explicit_single,255
panel,large,arc,train,acw,V2,no_explicit_option,1
panel,large,arc,train,acw,old,saved_valid,256
panel,large,arc,train,c2c,D1,explicit_single,256
panel,large,arc,train,c2c,V2,explicit_single,256
panel,large,arc,train,c2c,old,legacy_parse_failure,14
panel,large,arc,train,c2c,old,saved_valid,242
panel,large,arc,train,receiver_only,D1,explicit_single,256
panel,large,arc,train,receiver_only,V2,explicit_single,256
panel,large,arc,train,receiver_only,old,saved_valid,256
panel,large,arc,train,text,D1,explicit_single,256
panel,large,arc,train,text,V2,explicit_single,256
panel,large,arc,train,text,old,saved_valid,256
panel,large,arc,validation,acw,D1,explicit_single,128
panel,large,arc,validation,acw,V2,explicit_single,128
panel,large,arc,validation,acw,old,saved_valid,128
panel,large,arc,validation,c2c,D1,explicit_single,128
panel,large,arc,validation,c2c,V2,explicit_single,128
panel,large,arc,validation,c2c,old,legacy_parse_failure,6
panel,large,arc,validation,c2c,old,saved_valid,122
panel,large,arc,validation,receiver_only,D1,explicit_single,128
panel,large,arc,validation,receiver_only,V2,explicit_single,128
panel,large,arc,validation,receiver_only,old,saved_valid,128
panel,large,arc,validation,text,D1,explicit_single,128
panel,large,arc,validation,text,V2,explicit_single,128
panel,large,arc,validation,text,old,saved_valid,128
panel,large,obqa,dev,acw,D1,explicit_single,128
panel,large,obqa,dev,acw,V2,explicit_single,128
panel,large,obqa,dev,acw,old,saved_valid,128
panel,large,obqa,dev,c2c,D1,explicit_single,128
panel,large,obqa,dev,c2c,V2,explicit_single,128
panel,large,obqa,dev,c2c,old,legacy_parse_failure,3
panel,large,obqa,dev,c2c,old,saved_valid,125
panel,large,obqa,dev,receiver_only,D1,explicit_single,128
panel,large,obqa,dev,receiver_only,V2,explicit_single,128
panel,large,obqa,dev,receiver_only,old,saved_valid,128
panel,large,obqa,dev,text,D1,explicit_single,128
panel,large,obqa,dev,text,V2,explicit_single,128
panel,large,obqa,dev,text,old,saved_valid,128
panel,large,obqa,train,acw,D1,explicit_multiple_options,1
panel,large,obqa,train,acw,D1,explicit_single,255
panel,large,obqa,train,acw,V2,explicit_single,255
panel,large,obqa,train,acw,V2,multiple_options,1
panel,large,obqa,train,acw,old,saved_valid,255
panel,large,obqa,train,acw,old,unresolved_multiple_options,1
panel,large,obqa,train,c2c,D1,explicit_multiple_options,1
panel,large,obqa,train,c2c,D1,explicit_single,255
panel,large,obqa,train,c2c,V2,explicit_single,255
panel,large,obqa,train,c2c,V2,multiple_options,1
panel,large,obqa,train,c2c,old,legacy_parse_failure,3
panel,large,obqa,train,c2c,old,saved_valid,252
panel,large,obqa,train,c2c,old,unresolved_multiple_options,1
panel,large,obqa,train,receiver_only,D1,explicit_single,256
panel,large,obqa,train,receiver_only,V2,explicit_single,256
panel,large,obqa,train,receiver_only,old,saved_valid,256
panel,large,obqa,train,text,D1,explicit_single,256
panel,large,obqa,train,text,V2,explicit_single,256
panel,large,obqa,train,text,old,saved_valid,256
panel,small,arc,train,acw,D1,empty,8
panel,small,arc,train,acw,D1,explicit_multiple_options,41
panel,small,arc,train,acw,D1,explicit_single,207
panel,small,arc,train,acw,V2,empty,8
panel,small,arc,train,acw,V2,explicit_single,207
panel,small,arc,train,acw,V2,multiple_options,41
panel,small,arc,train,acw,old,legacy_parse_failure,8
panel,small,arc,train,acw,old,saved_valid,207
panel,small,arc,train,acw,old,unresolved_multiple_options,41
panel,small,arc,train,c2c,D1,explicit_multiple_options,1
panel,small,arc,train,c2c,D1,explicit_single,254
panel,small,arc,train,c2c,D1,no_explicit_answer,1
panel,small,arc,train,c2c,V2,explicit_single,255
panel,small,arc,train,c2c,V2,multiple_options,1
panel,small,arc,train,c2c,old,legacy_parse_failure,2
panel,small,arc,train,c2c,old,saved_valid,253
panel,small,arc,train,c2c,old,unresolved_multiple_options,1
panel,small,arc,train,receiver_only,D1,explicit_multiple_options,20
panel,small,arc,train,receiver_only,D1,explicit_single,236
panel,small,arc,train,receiver_only,V2,explicit_single,236
panel,small,arc,train,receiver_only,V2,multiple_options,20
panel,small,arc,train,receiver_only,old,saved_valid,236
panel,small,arc,train,receiver_only,old,unresolved_multiple_options,20
panel,small,arc,train,text,D1,explicit_multiple_options,26
panel,small,arc,train,text,D1,explicit_single,230
panel,small,arc,train,text,V2,explicit_single,230
panel,small,arc,train,text,V2,multiple_options,26
panel,small,arc,train,text,old,saved_valid,230
panel,small,arc,train,text,old,unresolved_multiple_options,26
panel,small,arc,validation,acw,D1,empty,7
panel,small,arc,validation,acw,D1,explicit_multiple_options,18
panel,small,arc,validation,acw,D1,explicit_single,103
panel,small,arc,validation,acw,V2,empty,7
panel,small,arc,validation,acw,V2,explicit_single,103
panel,small,arc,validation,acw,V2,multiple_options,18
panel,small,arc,validation,acw,old,legacy_parse_failure,7
panel,small,arc,validation,acw,old,saved_valid,103
panel,small,arc,validation,acw,old,unresolved_multiple_options,18
panel,small,arc,validation,c2c,D1,explicit_multiple_options,4
panel,small,arc,validation,c2c,D1,explicit_single,123
panel,small,arc,validation,c2c,D1,no_explicit_answer,1
panel,small,arc,validation,c2c,V2,explicit_single,123
panel,small,arc,validation,c2c,V2,multiple_options,4
panel,small,arc,validation,c2c,V2,no_explicit_option,1
panel,small,arc,validation,c2c,old,legacy_parse_failure,1
panel,small,arc,validation,c2c,old,saved_valid,123
panel,small,arc,validation,c2c,old,unresolved_multiple_options,4
panel,small,arc,validation,receiver_only,D1,explicit_multiple_options,17
panel,small,arc,validation,receiver_only,D1,explicit_single,111
panel,small,arc,validation,receiver_only,V2,explicit_single,111
panel,small,arc,validation,receiver_only,V2,multiple_options,17
panel,small,arc,validation,receiver_only,old,saved_valid,111
panel,small,arc,validation,receiver_only,old,unresolved_multiple_options,17
panel,small,arc,validation,text,D1,explicit_multiple_options,8
panel,small,arc,validation,text,D1,explicit_single,120
panel,small,arc,validation,text,V2,explicit_single,120
panel,small,arc,validation,text,V2,multiple_options,8
panel,small,arc,validation,text,old,saved_valid,120
panel,small,arc,validation,text,old,unresolved_multiple_options,8
panel,small,obqa,dev,acw,D1,explicit_multiple_options,10
panel,small,obqa,dev,acw,D1,explicit_single,118
panel,small,obqa,dev,acw,V2,explicit_single,118
panel,small,obqa,dev,acw,V2,multiple_options,10
panel,small,obqa,dev,acw,old,saved_valid,118
panel,small,obqa,dev,acw,old,unresolved_multiple_options,10
panel,small,obqa,dev,c2c,D1,explicit_single,128
panel,small,obqa,dev,c2c,V2,explicit_single,128
panel,small,obqa,dev,c2c,old,saved_valid,128
panel,small,obqa,dev,receiver_only,D1,explicit_multiple_options,4
panel,small,obqa,dev,receiver_only,D1,explicit_single,124
panel,small,obqa,dev,receiver_only,V2,explicit_single,124
panel,small,obqa,dev,receiver_only,V2,multiple_options,4
panel,small,obqa,dev,receiver_only,old,saved_valid,124
panel,small,obqa,dev,receiver_only,old,unresolved_multiple_options,4
panel,small,obqa,dev,text,D1,explicit_multiple_options,4
panel,small,obqa,dev,text,D1,explicit_single,124
panel,small,obqa,dev,text,V2,explicit_single,124
panel,small,obqa,dev,text,V2,multiple_options,4
panel,small,obqa,dev,text,old,saved_valid,124
panel,small,obqa,dev,text,old,unresolved_multiple_options,4
panel,small,obqa,train,acw,D1,explicit_multiple_options,16
panel,small,obqa,train,acw,D1,explicit_single,240
panel,small,obqa,train,acw,V2,explicit_single,240
panel,small,obqa,train,acw,V2,multiple_options,16
panel,small,obqa,train,acw,old,saved_valid,240
panel,small,obqa,train,acw,old,unresolved_multiple_options,16
panel,small,obqa,train,c2c,D1,explicit_single,256
panel,small,obqa,train,c2c,V2,explicit_single,256
panel,small,obqa,train,c2c,old,saved_valid,256
panel,small,obqa,train,receiver_only,D1,explicit_multiple_options,8
panel,small,obqa,train,receiver_only,D1,explicit_single,248
panel,small,obqa,train,receiver_only,V2,explicit_single,248
panel,small,obqa,train,receiver_only,V2,multiple_options,8
panel,small,obqa,train,receiver_only,old,saved_valid,248
panel,small,obqa,train,receiver_only,old,unresolved_multiple_options,8
panel,small,obqa,train,text,D1,explicit_multiple_options,8
panel,small,obqa,train,text,D1,explicit_single,248
panel,small,obqa,train,text,V2,explicit_single,248
panel,small,obqa,train,text,V2,multiple_options,8
panel,small,obqa,train,text,old,saved_valid,248
panel,small,obqa,train,text,old,unresolved_multiple_options,8
