id,panel_ordinal,ProbeMax,omitted,fixed_ms,policy_ms,saving_ms,probe_ms,policy_answer,fixed_answer,gold,policy_correct,fixed_correct,changed_vs_fixed,in_version_b,label
9-782,0,0.0002690553665161133,0,1153.9034449961036,686.8755179457366,467.027927050367,66.61994894966483,A,A,A,1,1,0,0,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
13-944,21,0.0,1,735.2902521379292,254.74313995800912,480.5471121799201,31.746847089380026,C,C,C,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
14-1171,22,0.3312300443649292,0,875.3524019848555,906.5162551123649,-31.163853127509356,31.98088495992124,C,C,C,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
10-973,23,0.0,1,524.5317840017378,223.68852305226028,300.84326094947755,31.47978405468166,C,C,C,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
14-109,24,0.2843361496925354,0,850.3422988578677,875.0255389604717,-24.68324010260403,31.600361224263906,C,C,C,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
13-42,25,0.27544599771499634,0,898.7582561094314,932.5625321362168,-33.804276026785374,32.23013295792043,D,D,D,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
10-702,26,0.0,1,678.5118621774018,254.4480450451374,424.0638171322644,31.78242198191583,D,D,D,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
14-1445,27,0.0,1,755.9471069835126,222.33790811151266,533.609198872,31.58972109667957,B,B,B,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
7-1076,28,7.480382919311523e-05,1,835.8711719047278,223.28489506617188,612.5862768385559,31.620398862287402,B,B,B,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
7-26,29,0.0,1,489.26376993767917,222.66058390960097,266.6031860280782,31.515641836449504,D,D,D,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
12-1083,30,0.0,1,721.8108570668846,223.2409028802067,498.56995418667793,31.479344936087728,D,D,D,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
12-105,31,0.0111808180809021,0,549.6980519965291,581.3969168812037,-31.69886488467455,31.77826409228146,A,A,D,0,0,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
1341,32,3.5762786865234375e-07,1,607.2769828606397,224.07068987376988,383.2062929868698,31.848446000367403,B,B,B,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
14-671,33,0.06622952222824097,0,719.3152939435095,757.814871147275,-38.49957720376551,31.855679815635085,C,C,C,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
11-176,34,0.0,1,523.3696829527617,223.47029414959252,299.89938880316913,31.280331080779433,C,C,C,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
9-695,35,3.5762786865234375e-07,1,740.6636259984225,222.77182317338884,517.8918028250337,31.663259956985712,A,A,A,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
9-985,36,0.17863023281097412,0,640.5965010635555,671.5039720293134,-30.907470965757966,31.8328479770571,A,A,D,0,0,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
14-61,37,0.00043064355850219727,0,758.8320609647781,793.5257670469582,-34.69370608218014,31.637100037187338,D,D,D,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
10-823,38,0.0,1,678.5772747825831,222.96781092882156,455.60946385376155,31.754971016198397,D,D,D,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
1851,39,2.6226043701171875e-06,1,789.3541587982327,223.40557188726962,565.9485869109631,31.280761118978262,A,A,A,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
9-844,40,8.702278137207031e-06,1,756.6051818430424,223.10432605445385,533.5008557885885,31.91569307819009,C,C,C,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
1655,41,0.0,1,641.8583691120148,222.8923791553825,418.96598995663226,31.706248875707388,C,C,C,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
383,42,4.76837158203125e-07,1,709.7471479792148,223.20838179439306,486.5387661848217,31.716288067400455,D,D,D,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
919,43,0.022977352142333984,0,808.9273499790579,840.675107203424,-31.74775722436607,31.67693503201008,B,B,B,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
14-45,44,3.5762786865234375e-07,1,855.3493248764426,254.87247202545404,600.4768528509885,31.90181707032025,C,C,C,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
11-131,45,0.0002034306526184082,1,639.5508979912847,223.15643401816487,416.39446397311985,31.679258914664388,B,B,B,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
11-559,46,0.0,1,836.9345979299396,255.7940820697695,581.1405158601701,31.870387960225344,D,D,D,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
12-1066,47,0.0,1,680.7659221813083,255.319450981915,425.4464711993933,31.634856015443802,C,C,C,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
14-1299,48,0.00015860795974731445,1,667.454652953893,254.97843092307448,412.47622203081846,31.774366972967982,D,A,A,0,1,1,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
11-240,49,0.0,1,739.4633728545159,223.23902999050915,516.2243428640068,31.648771837353706,D,D,D,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
14-491,50,0.0,1,725.9644218720496,224.1338591556996,501.83056271634996,31.829620944336057,B,B,B,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
10-916,51,5.447864532470703e-05,1,690.7669801730663,224.11877010017633,466.6482100728899,31.34144493378699,B,A,A,0,1,1,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
9-1064,52,0.06008666753768921,0,846.0100789088756,876.7262101173401,-30.716131208464503,32.26067987270653,D,D,D,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
14-223,53,0.004071176052093506,0,679.2830498889089,714.3794810399413,-35.09643115103245,32.06706698983908,B,B,B,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
11-141,54,0.0,1,766.6000288445503,223.25480892322958,543.3452199213207,31.6492838319391,A,A,A,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
10-347,55,0.027970552444458008,0,1017.0792080461979,1047.2938071470708,-30.214599100872874,31.755622010678053,C,C,C,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
12-306,56,0.0,1,562.4730300623924,256.2650730833411,306.20795697905123,31.815964030101895,D,D,D,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
13-71,57,0.0,1,707.6899320818484,224.39548722468317,483.2944448571652,32.085679937154055,A,A,A,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
10-415,58,0.0,1,941.4707550313324,224.47314416058362,716.9976108707488,31.556796981021762,B,B,B,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
10-184,59,0.0,1,763.8612980954349,223.13527297228575,540.7260251231492,31.76024998538196,C,C,C,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
11-57,60,0.0,1,800.8924499154091,231.4687438774854,569.4237060379237,33.170555951073766,A,A,A,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
11-747,61,0.025554358959197998,0,678.7029269617051,712.0355488732457,-33.33262191154063,32.478527165949345,D,D,D,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
12-1159,62,0.02950841188430786,0,626.4277349691838,658.4161529317498,-31.988417962566018,31.77479701116681,A,A,A,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
14-595,63,0.0,1,542.350463103503,254.7002260107547,287.6502370927483,31.752133974805474,D,D,D,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
10-58,64,0.0,1,819.5227161049843,224.05728395096958,595.4654321540147,32.02777192927897,A,A,A,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
9-400,65,0.0,1,729.6933899633586,223.3351180329919,506.35827193036675,31.35839500464499,B,B,B,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
11-666,66,0.0,1,648.0893399566412,223.12193713150918,424.967402825132,32.00923721306026,B,B,B,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
8-323,67,0.0015012025833129883,0,601.7971360124648,633.418665966019,-31.621529953554273,31.224563950672746,D,D,D,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
14-948,68,0.0,1,783.3179351873696,223.9443811122328,559.3735540751368,31.96304989978671,B,B,B,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
11-693,69,0.0,1,828.7360279355198,223.64691202528775,605.0891159102321,31.783232931047678,B,B,B,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
10-741,70,4.76837158203125e-06,1,708.3935318514705,225.64621502533555,482.7473168261349,32.12805907242,A,A,A,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
7-647,71,0.0,1,795.6520339939743,226.3072661589831,569.3447678349912,32.14402007870376,A,A,A,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
7-104,72,0.0006612539291381836,0,737.0315119624138,768.417578889057,-31.386066926643252,31.54195984825492,A,A,A,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
12-645,73,0.006723642349243164,0,673.98920096457,705.9879468288273,-31.998745864257216,32.14708506129682,B,B,B,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
10-1035,74,0.010992050170898438,0,673.4994309954345,705.4929977748543,-31.99356677941978,32.139261020347476,A,A,A,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
241,75,0.0,1,766.1062208935618,225.95328208990395,540.1529388036579,32.02072810381651,B,B,B,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
10-783,76,6.622076034545898e-05,1,706.449463032186,225.85200192406774,480.5974611081183,32.27515588514507,C,C,C,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
9-795,77,0.003490149974822998,0,646.2355810217559,677.982856053859,-31.74727503210306,32.198271015658975,B,B,B,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
14-757,78,0.0,1,730.2787890657783,226.97548009455204,503.3033089712262,32.61854010634124,D,D,D,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
9-1040,79,6.556510925292969e-07,1,506.6891929600388,225.6417570170015,281.04743594303727,32.203380949795246,B,B,B,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
10-580,80,0.0,1,708.5995490197092,257.28784198872745,451.3117070309818,32.142856856808066,C,C,C,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
10-681,81,0.0,1,468.14757492393255,225.90120392851532,242.24637099541724,32.01201092451811,D,D,D,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
14-1004,82,0.002538740634918213,0,767.1112169045955,799.8267400544137,-32.71552314981818,32.02598821371794,D,D,A,0,0,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
14-456,83,0.0,1,785.5228120461106,257.92437698692083,527.5984350591898,32.26278210058808,C,C,C,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
9-1036,84,0.0,1,509.8008532077074,226.47318802773952,283.3276651799679,31.67939791455865,D,D,D,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
11-737,85,0.005223333835601807,0,876.6052408609539,909.4371618703008,-32.83192100934684,32.04122697934508,B,B,B,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
12-541,86,9.083747863769531e-05,1,753.3183500636369,226.52953304350376,526.7888170201331,32.40908798761666,A,A,A,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
13-286,87,7.808208465576172e-06,1,687.0858608745039,226.28352092579007,460.8023399487138,32.03566512092948,C,D,D,0,1,1,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
1894,88,0.0,1,1002.9849279671907,224.18939089402556,778.7955370731652,31.572778010740876,A,A,A,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
1046,89,0.5000005960464478,0,762.982154963538,800.6490510888398,-37.66689612530172,31.889942940324545,A,A,A,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
7-229,90,1.1920928955078125e-06,1,722.745766164735,255.8699429500848,466.87582321465015,32.28934505023062,C,C,A,0,0,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
12-401,91,0.0,1,621.3031860534102,223.72767399065197,397.5755120627582,31.733912881463766,B,B,B,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
12-914,92,0.5390275716781616,0,684.1711460147053,716.2749329581857,-32.10378694348037,31.56677889637649,C,C,C,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
11-430,93,2.384185791015625e-07,1,622.63387395069,223.40645105578005,399.22742289491,31.784306978806853,B,B,B,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
13-460,94,0.0,1,647.6420238614082,223.5282501205802,424.11377374082804,31.740165082737803,B,B,B,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
11-629,95,0.0024725794792175293,0,542.5312300212681,572.600157931447,-30.0689279101789,31.67327889241278,D,D,D,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
13-516,96,9.614229202270508e-05,1,745.817722985521,229.69312802888453,516.1245949566364,31.858957838267088,B,B,B,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
10-176,97,0.0,1,718.0997070390731,224.09950196743011,494.000205071643,32.09382784552872,B,B,B,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
12-116,98,0.0,1,581.4828879665583,223.29569282010198,358.18719514645636,31.75780805759132,C,C,C,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
11-694,99,0.14838439226150513,0,737.9553080536425,769.325969973579,-31.370661919936538,31.667957780882716,A,A,A,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
8-133,100,0.2690733075141907,0,730.9124211315066,761.795548023656,-30.88312689214945,31.31183097139001,A,A,A,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
10-959,101,1.1920928955078125e-07,1,827.0626710727811,224.0827300120145,602.9799410607666,31.892710831016302,B,B,B,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
14-1056,102,0.0,1,501.0808128863573,255.95923094078898,245.12158194556832,31.991566997021437,C,C,C,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
10-380,103,0.0,1,821.0523300804198,224.03676388785243,597.0155661925673,31.70133219100535,D,D,D,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
11-523,104,2.6345252990722656e-05,1,747.3384970799088,223.93171698786318,523.4067800920457,31.834952998906374,B,C,C,0,1,1,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
12-352,105,0.0,1,739.6340891718864,224.23882293514907,515.3952662367374,31.93481988273561,C,C,C,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
14-754,106,2.384185791015625e-07,1,703.645730856806,225.16665398143232,478.4790768753737,32.17471996322274,D,D,D,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
12-1046,107,1.1980533599853516e-05,1,839.5819738507271,224.3870811071247,615.1948927436024,31.68282681144774,D,D,D,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
11-442,108,0.14804822206497192,0,745.3284650109708,774.8537429142743,-29.525277903303504,31.70002903789282,D,D,D,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
11-564,109,0.0,1,704.7865830827504,256.4607721287757,448.3258109539747,31.86908713541925,D,D,D,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
12-1146,110,0.0,1,705.0377540290356,256.37127296067774,448.6664810683578,31.97037591598928,D,D,D,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
12-605,111,0.0,1,694.4998791441321,224.39000685699284,470.1098722871393,31.271996209397912,C,C,C,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
14-311,112,0.0,1,860.3900738526136,224.31210102513433,636.0779728274792,32.06012514419854,D,D,D,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
13-9,113,0.0,1,506.3556919340044,256.93786703050137,249.41782490350306,31.711820978671312,C,C,C,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
13-492,114,0.0,1,909.6945088822395,225.91698309406638,683.7775257881731,31.915783882141113,A,A,A,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
13-376,115,2.384185791015625e-07,1,769.118026131764,224.17502687312663,544.9429992586374,31.952734105288982,C,C,C,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
13-804,116,0.0,1,659.6815818920732,226.35002015158534,433.3315617404878,32.07557508721948,B,B,B,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
14-216,117,0.0025963783264160156,0,912.4501601327211,959.9687859881669,-47.51862585544586,31.929770950227976,D,D,A,0,0,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
14-745,118,0.0,1,668.3944731485099,224.64185394346714,443.7526192050427,32.17641403898597,B,B,B,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
14-877,119,0.0,1,759.3649320770055,224.2496779654175,535.115254111588,31.869248021394014,B,B,B,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
10-354,120,0.0,1,886.8466122075915,223.97322999313474,662.8733822144568,31.846965895965695,A,A,A,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
14-362,121,0.0,1,761.1511840950698,224.83299300074577,536.318191094324,32.096073031425476,D,D,D,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
12-242,122,0.23697662353515625,0,584.3626451678574,615.9217308741063,-31.55908570624888,31.77723498083651,D,D,A,0,0,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
10-616,123,0.0,1,721.2116620503366,256.02962798438966,465.18203406594694,32.005834160372615,D,D,D,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
14-1328,124,1.430511474609375e-06,1,582.2156961075962,256.37671002186835,325.8389860857278,31.898783054202795,D,D,A,0,0,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
13-438,125,0.022999227046966553,0,761.0811940394342,800.1476980280131,-39.066503988578916,31.88896388746798,A,A,A,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
12-1208,126,0.014955222606658936,0,687.4115020036697,718.4375759679824,-31.026073964312673,31.972361030057073,A,A,A,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
10-351,127,0.04355621337890625,0,787.9911330528557,819.5194520521909,-31.52831899933517,31.763189006596804,C,C,C,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
