pair,action,official_index,id,gold,official_raw,official_parsed_v2,official_pred_official_evaluator,ours_raw,ours_parsed_v2,ours_runtime_error
small,R,90,359,A,The correct answer is A. ecru,A,A,The correct answer is A. ecru,A,False
small,R,91,9-350,D,The correct answer is D.,D,D,The correct answer is D.,D,False
small,R,92,7-140,C,The correct answer is A. a radio recording.,A,A,The correct answer is A. a radio recording.,A,False
small,R,93,591,A,The correct answer is A. malleable and nutritious.,A,A,The correct answer is A. malleable and nutritious.,A,False
small,R,94,7-391,C,The correct answer is A. gold,A,A,The correct answer is A. gold,A,False
small,R,95,1672,C,The correct answer is A/B/C/D.,INVALID,A,The correct answer is A/B/C/D.,INVALID,False
small,R,96,9-464,C,The correct answer is C. Rainfall.,C,C,The correct answer is C. Rainfall.,C,False
small,R,97,9-983,B,The correct answer is B. dirt quality.,B,B,The correct answer is B. dirt quality.,B,False
small,R,98,9-179,A,The correct answer is A. rubbing it.,A,A,The correct answer is A. rubbing it.,A,False
small,R,99,7-942,C,The correct answer is A. fast,A,A,The correct answer is A. fast,A,False
small,R,100,7-100,B,The correct answer is A. sunlight.,A,A,The correct answer is A. sunlight.,A,False
small,R,101,9-30,B,The correct answer is B. snake.,B,B,The correct answer is B. snake.,B,False
small,R,102,1709,A,The correct answer is A. enable plants to continue flourishing.,A,A,The correct answer is A. enable plants to continue flourishing.,A,False
small,R,103,8-491,D,The correct answer is A.,A,A,The correct answer is A.,A,False
small,R,104,44,B,The correct answer is A. genetics,A,A,The correct answer is A. genetics,A,False
small,R,105,1023,D,The correct answer is D. electricity.,D,D,The correct answer is D. electricity.,D,False
small,R,106,1911,B,The correct answer is A/B/C/D.,INVALID,A,The correct answer is A/B/C/D.,INVALID,False
small,R,107,429,A,The correct answer is A. 1000,A,A,The correct answer is A. 1000,A,False
small,R,108,8-49,D,The correct answer is D. turning on the hose.,D,D,The correct answer is D. turning on the hose.,D,False
small,R,109,520,C,The correct answer is A. only happen in California.,A,A,The correct answer is A. only happen in California.,A,False
small,R,110,7-1128,C,The correct answer is A.,A,A,The correct answer is A.,A,False
small,R,111,7-394,B,The correct answer is A.,A,A,The correct answer is A.,A,False
small,R,112,9-1166,B,The correct answer is A. wither,A,A,The correct answer is A. wither,A,False
small,R,113,7-884,C,The correct answer is A. music to be loud.,A,A,The correct answer is A. music to be loud.,A,False
small,R,114,9-501,A,The correct answer is A/B/C/D.,INVALID,A,The correct answer is A/B/C/D.,INVALID,False
small,R,115,9-757,C,The correct answer is A. old,A,A,The correct answer is A. old,A,False
small,R,116,7-725,D,The correct answer is D. stones to weather down to pebbles.,D,D,The correct answer is D. stones to weather down to pebbles.,D,False
small,R,117,1300,D,The correct answer is A/B/C/D.,INVALID,A,The correct answer is A/B/C/D.,INVALID,False
small,R,118,9-230,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,R,119,9-988,B,The correct answer is A.,A,A,The correct answer is A.,A,False
small,R,120,9-393,A,The correct answer is A. reservoir,A,A,The correct answer is A. reservoir,A,False
small,R,121,7-823,D,The correct answer is D.,D,D,The correct answer is D.,D,False
small,R,122,9-24,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,R,123,570,D,The correct answer is D.,D,D,The correct answer is D.,D,False
small,R,124,9-124,B,The correct answer is A. telescope views,A,A,The correct answer is A. telescope views,A,False
small,R,125,9-199,A,The correct answer is B.,B,B,The correct answer is B.,B,False
small,R,126,767,A,The correct answer is A. a cabbage cell.,A,A,The correct answer is A. a cabbage cell.,A,False
small,R,127,28,D,The correct answer is A. reverse.,A,A,The correct answer is A. reverse.,A,False
small,R,128,9-1134,B,The correct answer is D. release energy.,D,D,The correct answer is D. release energy.,D,False
small,R,129,9-1030,C,The correct answer is C. sensing views.,C,C,The correct answer is C. sensing views.,C,False
small,R,130,9-18,B,The correct answer is A. breaks for birds on the road.,A,A,The correct answer is A. breaks for birds on the road.,A,False
small,R,131,8-378,D,The correct answer is A. the woman makes more money.,A,A,The correct answer is A. the woman makes more money.,A,False
small,R,132,7-677,C,"The correct answer is C. arid, parched, and sun-baked.",C,C,"The correct answer is C. arid, parched, and sun-baked.",C,False
small,R,133,9-786,A,The correct answer is A. Our Planet,A,A,The correct answer is A. Our Planet,A,False
small,R,134,9-463,D,The correct answer is A. tile flooring.,A,A,The correct answer is A. tile flooring.,A,False
small,R,135,7-71,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,R,136,9-1053,D,The correct answer is D. H₂O,D,D,The correct answer is D. H₂O,D,False
small,R,137,9-437,B,The correct answer is A. Yelling really loud.,A,A,The correct answer is A. Yelling really loud.,A,False
small,R,138,1787,B,The correct answer is A. the creek water getting colder.,A,A,The correct answer is A. the creek water getting colder.,A,False
small,R,139,7-107,A,The correct answer is A. Australia.,A,A,The correct answer is A. Australia.,A,False
small,R,140,769,C,The correct answer is A.,A,A,The correct answer is A.,A,False
small,R,141,9-73,A,The correct answer is A. Brazil,A,A,The correct answer is A. Brazil,A,False
small,R,142,9-1194,D,The correct answer is A. dogs,A,A,The correct answer is A. dogs,A,False
small,R,143,9-416,D,The correct answer is D. the environment.,D,D,The correct answer is D. the environment.,D,False
small,R,144,470,A,The correct answer is A. humans throwing a spear through an animal.,A,A,The correct answer is A. humans throwing a spear through an animal.,A,False
small,R,145,1297,D,The correct answer is D. orange juice.,D,D,The correct answer is D. orange juice.,D,False
small,R,146,8-346,A,The correct answer is A. Sweet,A,A,The correct answer is A. Sweet,A,False
small,R,147,7-807,A,The correct answer is A. stone,A,A,The correct answer is A. stone,A,False
small,R,148,8-463,A,The correct answer is A. the freezing point,A,A,The correct answer is A. the freezing point,A,False
small,R,149,9-110,A,The correct answer is A. children,A,A,The correct answer is A. children,A,False
small,R,150,1611,C,The correct answer is A. it loses its magnetization.,A,A,The correct answer is A. it loses its magnetization.,A,False
small,R,151,9-942,D,The correct answer is A. luck,A,A,The correct answer is A. luck,A,False
small,R,152,9-1102,B,The correct answer is B. A school notebook.,B,B,The correct answer is B. A school notebook.,B,False
small,R,153,9-774,C,The correct answer is C. it is an unsustainable habitat.,C,C,The correct answer is C. it is an unsustainable habitat.,C,False
small,R,154,8-333,A,The correct answer is A. water and soda.,A,A,The correct answer is A. water and soda.,A,False
small,R,155,9-573,B,The correct answer is A. spider bites.,A,A,The correct answer is A. spider bites.,A,False
small,R,156,1955,A,The correct answer is A/B/C/D.,INVALID,A,The correct answer is A/B/C/D.,INVALID,False
small,R,157,8-45,C,The correct answer is A. 5 p.m.,A,A,The correct answer is A. 5 p.m.,A,False
small,R,158,9-674,C,The correct answer is A/B/C/D.,INVALID,A,The correct answer is A/B/C/D.,INVALID,False
small,R,159,898,B,The correct answer is D. water.,D,D,The correct answer is D. water.,D,False
small,R,160,7-1159,C,The correct answer is A.,A,A,The correct answer is A.,A,False
small,R,161,568,A,The correct answer is A. It's dead.,A,A,The correct answer is A. It's dead.,A,False
small,R,162,9-877,B,The correct answer is B. snow fox,B,B,The correct answer is B. snow fox,B,False
small,R,163,406,C,The correct answer is A. a vitamin that prevents blood loss.,A,A,The correct answer is A. a vitamin that prevents blood loss.,A,False
small,R,164,7-1132,A,The correct answer is A. magnetized.,A,A,The correct answer is A. magnetized.,A,False
small,R,165,7-479,C,The correct answer is D. none of these.,D,D,The correct answer is D. none of these.,D,False
small,R,166,609,A,The correct answer is A. Chickpeas.,A,A,The correct answer is A. Chickpeas.,A,False
small,R,167,1568,C,The correct answer is A. Window,A,A,The correct answer is A. Window,A,False
small,R,168,9-418,C,The correct answer is A.,A,A,The correct answer is A.,A,False
small,R,169,7-1050,B,The correct answer is A. only happens in the summer.,A,A,The correct answer is A. only happens in the summer.,A,False
small,R,170,9-510,C,The correct answer is A. air,A,A,The correct answer is A. air,A,False
small,R,171,9-519,A,The correct answer is A. friction,A,A,The correct answer is A. friction,A,False
small,R,172,9-637,C,The correct answer is A. the Sahara,A,A,The correct answer is A. the Sahara,A,False
small,R,173,473,A,The correct answer is A. Atlantic menhaden.,A,A,The correct answer is A. Atlantic menhaden.,A,False
small,R,174,8-445,B,The correct answer is D. blossoms blooming.,D,D,The correct answer is D. blossoms blooming.,D,False
small,R,175,9-575,B,The correct answer is D. all of these.,D,D,The correct answer is D. all of these.,D,False
small,R,176,7-284,B,The correct answer is A. add more fat to their diet.,A,A,The correct answer is A. add more fat to their diet.,A,False
small,R,177,8-135,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,R,178,397,D,The correct answer is A.,A,A,The correct answer is A.,A,False
small,R,179,9-32,B,The correct answer is A. counties,A,A,The correct answer is A. counties,A,False
small,R,180,48,C,The correct answer is C. fossilization.,C,C,The correct answer is C. fossilization.,C,False
small,R,181,8-69,C,The correct answer is D. none of these.,D,D,The correct answer is D. none of these.,D,False
small,R,182,9-159,C,The correct answer is A. some water is around it.,A,A,The correct answer is A. some water is around it.,A,False
small,R,183,9-317,C,The correct answer is C. electricity.,C,C,The correct answer is C. electricity.,C,False
small,R,184,423,D,The correct answer is D. stone,D,D,The correct answer is D. stone,D,False
small,R,185,8-304,A,The correct answer is C. none of these.,C,C,The correct answer is C. none of these.,C,False
small,R,186,785,D,The correct answer is A/B/C/D.,INVALID,A,The correct answer is A/B/C/D.,INVALID,False
small,R,187,9-1087,C,The correct answer is C. decrease.,C,C,The correct answer is C. decrease.,C,False
small,R,188,485,D,The correct answer is A. marble statues,A,A,The correct answer is A. marble statues,A,False
small,R,189,9-908,C,The correct answer is A. bike helmet,A,A,The correct answer is A. bike helmet,A,False
small,R,190,1231,C,The correct answer is A. crystals,A,A,The correct answer is A. crystals,A,False
small,R,191,810,B,The correct answer is A. leads to longer drought of resources.,A,A,The correct answer is A. leads to longer drought of resources.,A,False
small,R,192,158,D,The correct answer is A.,A,A,The correct answer is A.,A,False
small,R,193,7-445,A,The correct answer is A. a change in the direction of a stream.,A,A,The correct answer is A. a change in the direction of a stream.,A,False
small,R,194,1502,C,The correct answer is A.,A,A,The correct answer is A.,A,False
small,R,195,1200,B,The correct answer is A. Jul 4th,A,A,The correct answer is A. Jul 4th,A,False
small,R,196,437,A,The correct answer is A. Eucerin pH5 range,A,A,The correct answer is A. Eucerin pH5 range,A,False
small,R,197,8-205,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,R,198,9-270,C,The correct answer is C. fails to grow.,C,C,The correct answer is C. fails to grow.,C,False
small,R,199,8-130,C,The correct answer is A. heat,A,A,The correct answer is A. heat,A,False
small,R,200,229,D,The correct answer is A. axial planetary rotation,A,A,The correct answer is A. axial planetary rotation,A,False
small,R,201,9-390,D,The correct answer is A. River,A,A,The correct answer is A. River,A,False
small,R,202,8-107,C,The correct answer is A/B/C/D.,INVALID,A,The correct answer is A/B/C/D.,INVALID,False
small,R,203,7-527,A,The correct answer is D. make their own food.,D,D,The correct answer is D. make their own food.,D,False
small,R,204,7-333,C,The correct answer is A.,A,A,The correct answer is A.,A,False
small,R,205,9-44,C,The correct answer is A. giant fish,A,A,The correct answer is A. giant fish,A,False
small,R,206,7-160,D,The correct answer is A. water splashing.,A,A,The correct answer is A. water splashing.,A,False
small,R,207,1942,D,The correct answer is A.,A,A,The correct answer is A.,A,False
small,R,208,9-597,B,The correct answer is A. insects,A,A,The correct answer is A. insects,A,False
small,R,209,9-35,A,The correct answer is A. millions of years.,A,A,The correct answer is A. millions of years.,A,False
small,R,210,1161,B,The correct answer is A. change the moon into cheese.,A,A,The correct answer is A. change the moon into cheese.,A,False
small,R,211,7-171,B,The correct answer is A. they would be scalded.,A,A,The correct answer is A. they would be scalded.,A,False
small,R,212,1139,D,The correct answer is D. eat alfalfa hay.,D,D,The correct answer is D. eat alfalfa hay.,D,False
small,R,213,1924,B,The correct answer is A.,A,A,The correct answer is A.,A,False
small,R,214,9-440,B,The correct answer is B. a community.,B,B,The correct answer is B. a community.,B,False
small,R,215,9-528,C,The correct answer is A.,A,A,The correct answer is A.,A,False
small,R,216,170,C,The correct answer is A. rabbit and hare.,A,A,The correct answer is A. rabbit and hare.,A,False
small,R,217,395,D,The correct answer is A. toad,A,A,The correct answer is A. toad,A,False
small,R,218,9-633,D,The correct answer is D. a reproductive companion.,D,D,The correct answer is D. a reproductive companion.,D,False
small,R,219,9-504,A,The correct answer is A. a quarry.,A,A,The correct answer is A. a quarry.,A,False
small,R,220,8-192,A,The correct answer is A. Heat,A,A,The correct answer is A. Heat,A,False
small,R,221,7-1108,D,The correct answer is A.,A,A,The correct answer is A.,A,False
small,R,222,7-852,A,The correct answer is A. blood moves in a body.,A,A,The correct answer is A. blood moves in a body.,A,False
small,R,223,761,D,The correct answer is A. Arizona,A,A,The correct answer is A. Arizona,A,False
small,R,224,8-318,B,The correct answer is B. light is more easily seen.,B,B,The correct answer is B. light is more easily seen.,B,False
small,R,225,636,C,The correct answer is A. flutes.,A,A,The correct answer is A. flutes.,A,False
small,R,226,7-444,D,The correct answer is D. toes are wiggled.,D,D,The correct answer is D. toes are wiggled.,D,False
small,R,227,8-57,B,The correct answer is D.,D,D,The correct answer is D.,D,False
small,R,228,9-187,B,The correct answer is A. invertebrates.,A,A,The correct answer is A. invertebrates.,A,False
small,R,229,1345,B,The correct answer is A. provide nice scents.,A,A,The correct answer is A. provide nice scents.,A,False
small,R,230,8-59,D,The correct answer is A. the plastic water bottle.,A,A,The correct answer is A. the plastic water bottle.,A,False
small,R,231,178,B,The correct answer is B. mud,B,B,The correct answer is B. mud,B,False
small,R,232,9-1186,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,R,233,82,C,The correct answer is D. reverse,D,D,The correct answer is D. reverse,D,False
small,R,234,8-165,C,The correct answer is A.,A,A,The correct answer is A.,A,False
small,R,235,404,B,The correct answer is A. waterfalls,A,A,The correct answer is A. waterfalls,A,False
small,R,236,279,A,The correct answer is A. horseshoe,A,A,The correct answer is A. horseshoe,A,False
small,R,237,9-532,A,The correct answer is A. warm,A,A,The correct answer is A. warm,A,False
small,R,238,268,C,The correct answer is A.,A,A,The correct answer is A.,A,False
small,R,239,7-1018,D,The correct answer is A. moving a rope sideways.,A,A,The correct answer is A. moving a rope sideways.,A,False
small,R,240,1756,A,The correct answer is A. emus,A,A,The correct answer is A. emus,A,False
small,R,241,1137,D,The correct answer is A. clothes,A,A,The correct answer is A. clothes,A,False
small,R,242,7-203,D,The correct answer is A/B/C/D.,INVALID,A,The correct answer is A/B/C/D.,INVALID,False
small,R,243,745,B,The correct answer is A. wood,A,A,The correct answer is A. wood,A,False
small,R,244,7-902,A,The correct answer is A. get bigger yields.,A,A,The correct answer is A. get bigger yields.,A,False
small,R,245,1095,A,The correct answer is A. feathers slows heat transfer.,A,A,The correct answer is A. feathers slows heat transfer.,A,False
small,R,246,7-163,A,The correct answer is A. a charge for appliances.,A,A,The correct answer is A. a charge for appliances.,A,False
small,R,247,9-858,C,The correct answer is A. weight,A,A,The correct answer is A. weight,A,False
small,R,248,1530,D,The correct answer is D. music.,D,D,The correct answer is D. music.,D,False
small,R,249,9-993,D,The correct answer is A. chips,A,A,The correct answer is A. chips,A,False
small,R,250,8-340,D,The correct answer is A. cirrus clouds.,A,A,The correct answer is A. cirrus clouds.,A,False
small,R,251,3,B,The correct answer is A. Walking.,A,A,The correct answer is A. Walking.,A,False
small,R,252,1074,C,The correct answer is C. metal.,C,C,The correct answer is C. metal.,C,False
small,R,253,9-431,A,The correct answer is A. combining,A,A,The correct answer is A. combining,A,False
small,R,254,9-638,B,The correct answer is A. life cycle,A,A,The correct answer is A. life cycle,A,False
small,R,255,9-352,D,The correct answer is D. iron and carbon.,D,D,The correct answer is D. iron and carbon.,D,False
small,R,256,226,D,The correct answer is A. a bicycle.,A,A,The correct answer is A. a bicycle.,A,False
small,R,257,9-132,A,The correct answer is A. reprocessable,A,A,The correct answer is A. reprocessable,A,False
small,R,258,9-222,D,The correct answer is A/B/C/D.,INVALID,A,The correct answer is A/B/C/D.,INVALID,False
small,R,259,9-105,D,The correct answer is C. all of these.,C,C,The correct answer is C. all of these.,C,False
small,R,260,7-459,B,The correct answer is B. dirt,B,B,The correct answer is B. dirt,B,False
small,R,261,9-881,B,The correct answer is B. decomposition.,B,B,The correct answer is B. decomposition.,B,False
small,R,262,280,B,The correct answer is A. gold jewelry.,A,A,The correct answer is A. gold jewelry.,A,False
small,R,263,187,B,The correct answer is A. sunlight.,A,A,The correct answer is A. sunlight.,A,False
small,R,264,8-253,C,The correct answer is D. none of these.,D,D,The correct answer is D. none of these.,D,False
small,R,265,9-482,D,The correct answer is D. It will pass out.,D,D,The correct answer is D. It will pass out.,D,False
small,R,266,496,A,The correct answer is A. solar-rechargeable battery.,A,A,The correct answer is A. solar-rechargeable battery.,A,False
small,R,267,630,C,The correct answer is A. The Amazon.,A,A,The correct answer is A. The Amazon.,A,False
small,R,268,9-16,D,The correct answer is C. the praying mantis.,C,C,The correct answer is C. the praying mantis.,C,False
small,R,269,7-986,D,The correct answer is A. media is mainly in English.,A,A,The correct answer is A. media is mainly in English.,A,False
small,R,270,7-787,C,The correct answer is A. they consume plants.,A,A,The correct answer is A. they consume plants.,A,False
small,R,271,9-181,A,The correct answer is A. our celestial fireball.,A,A,The correct answer is A. our celestial fireball.,A,False
small,R,272,1240,B,The correct answer is B.,B,B,The correct answer is B.,B,False
small,R,273,474,D,The correct answer is A. an organism that releases carbon dioxide.,A,A,The correct answer is A. an organism that releases carbon dioxide.,A,False
small,R,274,1274,D,The correct answer is C. on a stump.,C,C,The correct answer is C. on a stump.,C,False
small,R,275,1531,D,The correct answer is A. leads to more habitats for animals.,A,A,The correct answer is A. leads to more habitats for animals.,A,False
small,R,276,8-321,B,The correct answer is B. resistance,B,B,The correct answer is B. resistance,B,False
small,R,277,1321,C,The correct answer is C. because it's blanketed in crystalline ice water.,C,C,The correct answer is C. because it's blanketed in crystalline ice water.,C,False
small,R,278,9-51,D,The correct answer is D. An insulated room.,D,D,The correct answer is D. An insulated room.,D,False
small,R,279,7-685,B,The correct answer is A. fleas.,A,A,The correct answer is A. fleas.,A,False
small,R,280,7-59,A,The correct answer is A. nutrient making process.,A,A,The correct answer is A. nutrient making process.,A,False
small,R,281,7-270,D,The correct answer is D. needs required for creating chlorophyll.,D,D,The correct answer is D. needs required for creating chlorophyll.,D,False
small,R,282,7-736,C,The correct answer is A. length of hair,A,A,The correct answer is A. length of hair,A,False
small,R,283,8-186,D,The correct answer is D. living organisms in ecosystem.,D,D,The correct answer is D. living organisms in ecosystem.,D,False
small,R,284,224,B,The correct answer is A. in a tree.,A,A,The correct answer is A. in a tree.,A,False
small,R,285,8-206,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,R,286,8-190,B,The correct answer is A. frigid waters.,A,A,The correct answer is A. frigid waters.,A,False
small,R,287,7-334,B,The correct answer is A. certain things may be featured.,A,A,The correct answer is A. certain things may be featured.,A,False
small,R,288,9-853,B,The correct answer is A.,A,A,The correct answer is A.,A,False
small,R,289,8-367,A,The correct answer is A. community concerns over environmental impact.,A,A,The correct answer is A. community concerns over environmental impact.,A,False
small,R,290,1047,A,The correct answer is A. causes puddles to become dried out mud.,A,A,The correct answer is A. causes puddles to become dried out mud.,A,False
